QikProp_.stars	QikProp_.amine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Activity
6	0	0	0	1	0	2	177.458	3.953	317.365	125.815	35.716	0	155.835	492.235	1	0.75	0.0317504	0.0023632	0.9499933	12.903	4.698	6.204	2.763	2.124	-1.962	-2.391	-2.341	4541.561	0.622	10000	-2.082	10.596	0.26	1	-0.278	3	100	0	0	20.088	1	0	0	0	0	8	0	0.00422634	3.12
12	0	0	0	0	0	1	133.405	2.475	270.544	80.294	0	0	190.25	386.517	0	0	0.015848	0	0.9485059	9.314	3.242	2.902	0.437	2.489	-1.956	-1.84	-2.365	9906.038	0.353	10000	-1.52	10.829	0.343	0	-0.26	3	100	0	0	0	0	0	0	0	0	5	0	0	3.4
11	0	0	0	0	0	1	167.85	3.058	289.85	46.317	0	0	243.533	425.001	0	0	0.0220041	0	0.9431595	10.855	4.001	3.777	0.502	2.578	-2.07	-2.24	-2.452	9906.038	0.285	10000	-1.52	10.787	0.191	0	-0.148	3	100	0	0	0	0	0	0	0	0	6	0	0	3.92
12	0	0	0	0	0	1	133.405	3.978	269.934	79.935	0	0	189.999	385.101	0	0	0.041087	0	0.948327	9.258	3.221	3.227	0.435	2.49	-1.955	-1.825	-2.368	9906.038	0.352	10000	-1.52	10.598	-0.107	0	-0.264	3	100	0	0	0	0	0	0	0	0	5	0	0	3.21
12	0	0	0	0	0	1	96.944	1.923	239.95	48.402	0	44.69	146.858	325.865	0	0	0.0113442	0	0.9544128	7.314	2.593	2.017	0.652	1.859	-1.297	-1.208	-2.483	9906.038	0.289	10000	-1.362	9.902	-0.357	0	-0.436	3	100	0	0	0	0	0	0	0	0	4	0	0	2.84
7	0	0	0	0	0	1	215.894	3.04	348.424	0	0	105.399	243.026	540.507	0	0	0.0170976	0	0.920995	16.484	5.784	5.807	1.36	4.689	-4.867	-4.495	-3.313	9906.038	0.192	10000	-1.148	9.527	0.571	0	0.187	3	100	0	0	0	0	0	6	6	0	10	0	0	5.29
7	0	0	0	0	0	1	181.449	3.76	328.416	0	0	142.472	185.943	500.746	0	0	0.0282388	0	0.9285808	15.246	5.287	5.317	1.544	2.856	-3.058	-3.813	-3.367	9906.038	0.192	10000	-1.018	9.592	0.341	0	0.072	3	100	0	0	0	0	0	6	6	0	9	0	0	4.89
11	0	0	0	0	1	1	147.431	4.141	300.462	110.142	0	0	190.32	443.563	0	0	0.0386626	0	0.9361507	11.597	3.755	3.989	0.509	2.66	-2.194	-2.433	-2.565	9906.038	0.412	10000	-1.52	10.57	-0.428	0	-0.094	3	100	0	0	0	0	0	0	0	0	6	0	0	3.41
8	0	0	0	0	0	1	215.894	0.003	352.57	0	0	94.96	257.61	545.084	0	0	0	0	0.9152976	16.567	5.804	5.647	1.304	4.754	-4.949	-4.589	-3.355	9906.038	0.192	10000	-1.185	9.448	0.641	0	0.2	3	100	0	0	0	0	0	6	6	0	10	0	0	5.83
7	0	0	0	0	0	1	181.449	1.87	332.572	0	0	132.037	200.535	505.336	0	0	0.0069231	0	0.9225703	15.33	5.301	5.099	1.488	2.914	-3.133	-3.907	-3.415	9906.038	0.192	10000	-1.054	9.465	0.435	0	0.085	3	100	0	0	0	0	0	6	6	0	9	0	0	4.8
7	0	0	0	0	0	2	120.194	0.479	351.237	239.291	0	111.946	0	543.037	0	0	0.0004221	0	0.9164704	16.647	4.097	4.432	0.526	3.285	-3.19	-3.469	-3.417	9906.038	0.671	5899.293	-1.125	9.207	-0.464	3	0.194	3	100	0	0	0	0	0	6	6	0	9	0	0	4.19
13	0	0	0	0	0	1	98.96	0	252.982	105.128	0	0	147.853	348.358	0	0	0	0	0.9464405	7.787	2.456	1.944	0.38	1.49	-1.305	-1.442	-2.399	9906.038	0.402	10000	-1.52	10.704	-0.375	0	-0.371	3	100	0	0	0	0	0	0	0	0	4	0	0	2.9
11	0	0	0	0	1	2	112.986	3.986	277.957	149.865	0	0	128.092	400.827	0	0	0.0396394	0	0.9458568	9.887	2.939	3.114	0.433	2.446	-1.968	-1.989	-2.408	9906.038	0.492	10000	-1.52	10.468	-0.786	0	-0.218	3	100	0	0	0	0	0	0	0	0	5	0	0	2.93
10	1	0	0	2	0	2	87.164	1.37	295.777	248.721	47.056	0	0	444.34	2	1	0.0042245	0.0047814	0.9520889	10.344	3.4	5.772	4.224	0.443	0.841	0.602	-3.033	884.244	0.495	479.16	-4.257	9.35	-3.047	2	-0.607	3	82.279	0	0	24.145	1	0	0	0	0	6	0	0.0162249	2.49
2	2	0	0	3	0	2	130.189	3.385	341.454	261.123	80.332	0	0	530.686	2	5.2	0.0215934	0.021537	0.9283773	13.158	4.319	9.354	8.477	-1.029	1.613	1.596	-4.143	106.639	0.558	53.877	-6.837	9.109	-2.503	2	-0.795	2	57.213	0	0	42.731	3	0	6	6	4	9	0	0.0564863	1.31
8	2	0	0	3	0	0	74.125	1.03	262.914	152.594	110.32	0	0	372.856	4	2	0.0028455	0.0152141	0.9528948	6.841	3.482	8.264	8.269	-1.589	2	1.877	-3.747	55.403	0.37	26.547	-7.39	9.463	-2.648	4	-1.041	2	48.85	0	0	51.124	2	0	0	0	0	5	0	0.0539629	1.81
9	0	0	0	3	0	-1	76.095	2.645	254.535	160.607	93.927	0	0	356.593	2	3.4	0.0196168	0.0188907	0.9554326	6.191	2.75	6.039	6.587	-1.138	0.456	-0.251	-2.253	1274.053	-0.303	642.755	-2.963	10.969	-3.038	2	-0.934	3	75.861	0	0	43.182	2	0	0	0	0	5	0	0.0631887	0.13
7	0	0	0	1	0	2	330.801	0.916	357.286	0	40.007	94.715	222.564	551.021	1	0.75	0.001523	0.0020992	0.9097623	16.16	6.073	7.364	3.556	3.204	-3.089	-5.959	-3.444	4135.383	0.727	10000	-1.827	6.034	5.291	2	-0.119	3	100	0	0	20.445	1	0	6	6	0	10	0	0.00226727	4.71
8	0	0	0	0	0	1	181.449	0.002	336.742	0	0	121.595	215.148	509.941	0	0	0	0	0.9166724	15.415	5.318	5.079	1.432	2.977	-3.212	-4.001	-3.46	9906.038	0.192	10000	-1.091	9.756	0.384	0	0.098	3	100	0	0	0	0	0	6	6	0	9	0	0	4.74
11	0	0	0	2	2	2	201.888	2.06	295.043	136.348	0	0	158.695	425.093	0	0	0.0099828	0	0.9266914	9.574	3.204	2.65	0.043	2.555	-2.097	-2.241	-2.718	9906.038	0.465	10000	-1.327	11.089	0.658	0	-0.233	3	100	0	0	0	0	0	0	0	0	5	0	0	5.05
12	0	0	0	0	0	2	112.986	2.511	285.393	137.538	0	0	147.855	408.16	0	0	0.0154523	0	0.9324137	10.181	2.998	2.962	0.458	2.49	-2.004	-2.065	-2.626	9906.038	0.467	10000	-1.52	10.578	-0.672	0	-0.197	3	100	0	0	0	0	0	0	0	0	5	0	0	2.94
6	0	0	0	0	0	1	175.057	0.011	375.545	98.388	0	135.724	141.432	585.012	0	0	2e-07	0	0.9007687	18.554	5.564	5.804	1.596	3.656	-3.383	-3.906	-3.785	9906.038	0.389	10000	-1.041	9.871	0.346	2	0.316	3	100	0	0	0	0	0	6	6	0	10	0	0	6.65
8	0	0	0	0	0	1	235.906	0.002	321.703	0	0	167.541	154.163	481.857	0	0	0	0	0.923964	14.73	4.976	4.625	1.687	3.123	-2.957	-3.48	-3.561	9906.038	0.192	10000	-0.929	9.877	0.444	0	0.017	3	100	0	0	0	0	0	6	6	0	8	0	0	5.28
12	0	0	0	1	0	2	127.013	0	317.805	169.947	0	0	147.858	467.961	0	0	0	0	0.9172289	11.932	3.516	3.298	0.315	2.815	-2.715	-2.687	-2.871	9906.038	0.532	10000	-1.423	10.552	-0.832	0	-0.066	3	100	0	0	0	0	0	0	0	0	6	0	0	3.39
6	0	0	0	2	0	0	138.166	2.928	314.004	159.638	0	154.366	0	497.769	0	1.5	0.0172217	0	0.9673463	13.957	4.471	4.619	2.561	1.877	-1.633	-1.709	-2.797	9906.038	-0.174	5899.293	-0.784	8.642	-0.253	2	-0.423	3	100	0	0	16.839	2	0	6	6	0	10	0	0	3.07
12	0	0	0	0	0	-1	88.106	0	231.367	231.367	0	0	0	346.046	0	3.4	0	0	1.0302719	7.695	2.547	3.115	3.625	-0.272	1.256	1.502	-1.042	9906.038	-0.899	5899.293	-3.166	10.478	-2.632	2	-1.287	3	96.873	0	0	18.519	2	0	6	6	4	6	0	0	0.93
8	0	0	0	2	0	2	141.04	2.539	350.214	202.356	0	0	147.858	527.758	0	0	0.0122121	0	0.9018225	13.683	4.03	4.013	0.172	3.598	-3.575	-3.31	-3.121	9906.038	0.597	10000	-1.327	10.523	-0.924	0	0.065	3	100	0	0	0	0	0	0	0	0	7	0	0	3.75
5	0	0	0	0	0	2	154.252	1.608	369.945	369.945	0	0	0	609.336	0	0.75	0.0042422	0	0.9395774	18.232	4.247	5.312	1.348	2.373	-2.904	-3.515	-2.51	9906.038	0.59	5899.293	-0.954	10.401	-2.752	1	0.186	3	100	0	0	7.711	1	0	8	8	7	11	0	0	3.18
7	0	0	0	7	0	2	138.252	0.144	443.937	352.243	0	91.694	0	700.891	0	0	2.95e-05	0	0.8595625	18.277	5.167	4.61	-1.696	4.979	-5.173	-5.112	-4.242	9906.038	0.897	5899.293	-0.524	10.289	-1.22	2	0.355	3	100	0	0	0	0	0	0	0	0	10	0	0	5.68
9	1	0	0	3	0	0	75.11	2.762	257.523	158.231	99.292	0	0	362.907	3	2.7	0.0210283	0.0181597	0.955461	6.443	3.091	7.248	7.406	-0.961	1.414	0.723	-2.979	282.628	0.056	139.655	-5.124	9.307	-2.863	3	-0.945	2	65.194	0	0	46.468	2	0	0	0	0	5	0	0.0622626	1.47
7	0	0	0	1	0	1	111.119	4.671	288.987	0	61.655	180.526	46.806	422.57	1.5	1	0.0516274	0.0042381	0.9423658	11.839	3.991	6.836	5.04	1.796	-1.51	-1.29	-3.326	2577.653	0.155	2484.49	-1.924	8.299	-0.258	1	-0.559	3	100	46.806	0	26.357	1	0	6	6	0	8	0	0.011022	3.82
11	0	0	0	2	1	2	137.019	2.511	297.031	217.683	0	0	79.348	430.38	0	0	0.0146546	0	0.9281068	9.786	2.724	2.396	0.02	2.64	-2.534	-2.296	-2.695	9906.038	0.628	10000	-1.327	10.911	0.192	0	-0.218	3	100	0	0	0	0	0	0	0	0	5	0	0	3.57
7	0	0	0	5	1	2	179.099	2.589	394.262	314.913	0	0	79.348	609.775	0	0	0.0109909	0	0.8820513	15.039	4.269	3.989	-0.407	4.285	-4.201	-4.163	-3.441	9906.038	0.823	10000	-1.039	10.913	0.195	0	0.176	3	100	0	0	0	0	0	0	0	0	8	0	0	5.09
8	0	0	0	4	1	2	165.073	2.56	361.853	282.505	0	0	79.349	549.98	0	0	0.0119115	0	0.8971481	13.288	3.749	3.454	-0.265	4.001	-3.823	-3.541	-3.196	9906.038	0.758	10000	-1.135	10.912	0.194	0	0.045	3	100	0	0	0	0	0	0	0	0	7	0	0	4.68
7	0	0	0	6	1	2	193.126	2.581	426.67	347.321	0	0	79.349	669.573	0	0	0.0099473	0	0.8675036	16.79	4.801	4.522	-0.55	4.767	-5.15	-4.786	-3.676	9906.038	0.887	10000	-0.943	10.913	0.196	0	0.307	3	100	0	0	0	0	0	0	0	0	9	0	0	5.36
12	0	0	0	1	1	2	122.992	2.489	264.624	185.277	0	0	79.347	370.586	0	0	0.01672	0	0.9428909	8.035	2.197	1.876	0.163	1.843	-1.784	-1.674	-2.456	9906.038	0.563	10000	-1.423	10.913	0.189	0	-0.349	3	100	0	0	0	0	0	0	0	0	4	0	0	3.26
10	0	0	0	3	0	0	74.122	1.967	279.951	222.969	56.982	0	0	399.754	1	1.7	0.0096795	0.0060725	0.9374437	7.918	2.547	3.919	3.258	0.879	-0.089	-0.215	-2.544	2854.564	-0.05	1537.215	-2.282	10.928	-3.07	1	-0.725	3	93.94	0	0	23.242	1	0	0	0	0	5	0	0.0229352	1.59
7	0	0	0	0	0	1	126.585	2.486	319.915	87.87	0	160.321	71.724	480.223	0	0	0.0128686	0	0.9270265	14.596	4.36	4.338	1.605	3.123	-2.595	-2.815	-3.477	9906.038	0.368	10000	-0.955	9.454	-0.108	1	0.012	3	100	0	0	0	0	0	6	6	0	8	0	0	3.84
7	0	0	0	0	0	1	126.585	2.666	319.9	87.867	0	160.308	71.724	480.207	0	0	0.0148028	0	0.9270511	14.595	4.36	4.365	1.604	3.123	-2.595	-2.815	-3.477	9906.038	0.368	10000	-0.955	9.352	-0.09	1	0.012	3	100	0	0	0	0	0	6	6	0	8	0	0	4.33
6	0	0	0	0	0	1	162.618	2.112	351.128	0	0	288.372	62.755	551.034	0	0	0.0080985	0	0.9257328	18.652	5.966	5.854	2.548	3.448	-3.818	-4.31	-4.109	9906.038	0.192	10000	-0.504	8.86	0.66	0	0.218	3	100	0	0	0	0	0	10	10	0	11	0	0	4.85
0	0	0	0	2	0	-1	152.583	5.502	338.143	0	122.708	143.809	71.627	511.889	1.5	2.5	0.0591403	0.0090549	0.9151972	14.421	5.674	8.935	6.589	0.692	-1.895	-2.697	-3.59	679.613	-0.358	804.298	-3.082	8.629	0.503	1	-0.534	3	81.691	0	0	50.891	2	0	6	6	0	10	0	0.0200668	3.73
5	0	0	0	1	0	0	117.15	5.296	326.572	77.226	64.757	184.589	0	492.899	0	1.5	0.0569036	0	0.9240411	14.693	4.591	5.751	3.458	1.8	-1.927	-2.225	-3.641	2408.847	-0.002	1279.501	-1.967	9.975	0.497	1	-0.395	3	100	0	0	25.323	1	0	6	6	0	9	0	0	3.42
0	0	0	0	2	0	0	276.915	4.329	365.672	0	111.405	108.849	145.419	562.652	1	2.25	0.0333037	0.006153	0.9013621	16.119	6.176	8.54	5.388	1.802	-3.244	-5.263	-3.647	869.861	-0.114	2663.837	-2.997	9.83	1.089	1	-0.353	3	90.109	0	0	46.058	2	0	6	6	0	11	0	0.00812516	4.3
5	0	0	0	9	0	0	158.283	1.95	474.403	417.421	56.981	0	0	758.533	1	1.7	0.0050149	0.0035835	0.8478796	18.424	5.689	7.142	2.402	2.891	-2.692	-1.703	-3.993	2854.602	-0.507	1537.237	-1.706	10.932	-2.992	1	-0.046	3	100	0	0	23.241	1	0	0	0	0	11	0	0.0107404	4.82
3	0	0	0	10	0	0	184.321	1.269	528.258	441.351	54.06	32.847	0	856.015	1	1.7	0.0018813	0.0032181	0.8253534	21.996	6.816	8.298	2.515	3.559	-3.63	-2.219	-4.515	3042.619	-0.568	1646.962	-1.44	9.497	-1.208	1	0.178	3	100	0	0	20.354	1	0	0	0	0	13	0	0.00922297	5.27
6	0	0	0	6	0	0	116.203	1.992	377.18	320.198	56.982	0	0	579.146	1	1.7	0.0068487	0.0045071	0.8908591	13.171	4.082	5.524	2.83	2.613	-1.764	-0.905	-3.298	2854.586	-0.277	1537.228	-1.994	10.93	-3.009	1	-0.4	3	100	0	0	23.241	1	0	0	0	0	8	0	0.0146295	3.51
8	0	0	0	5	0	0	102.176	1.957	344.771	287.789	56.982	0	0	519.351	1	1.7	0.0073706	0.0049308	0.9063063	11.42	3.568	4.983	2.972	2.026	-1.22	-0.656	-3.048	2854.56	-0.2	1537.212	-2.09	10.929	-3.021	1	-0.512	3	100	0	0	23.241	1	0	0	0	0	7	0	0.0166379	2.94
6	0	0	0	2	0	1	124.139	1.697	301.384	79.817	54.422	167.145	0	459.928	1	1.5	0.0062622	0.004977	0.9561036	12.564	4.626	5.707	4.452	1.18	-0.805	-1.463	-3.039	3018.676	0.046	1632.958	-1.742	9.035	-0.34	2	-0.502	3	96.136	0	0	30.882	2	0	6	6	0	9	0	0.0120831	3.22
5	1	0	0	6	0	1	129.245	1.449	406.458	358.619	47.839	0	0	638.748	2	1	0.0032885	0.0034794	0.8824756	15.556	4.82	7.324	3.613	1.679	-0.744	-0.162	-4.16	869.252	0.191	470.385	-3.888	9.373	-3.024	2	-0.269	3	89.384	0	0	24.396	1	0	0	0	0	9	0	0.0109422	4.4
6	0	0	0	0	0	1	142.2	0.466	357.383	76.802	0	280.58	0	563.056	0	0	0.0003857	0	0.9227115	19.059	5.567	5.562	1.888	3.481	-3.633	-3.677	-4.121	9906.038	0.346	5899.293	-0.531	8.717	0.43	1	0.253	3	100	0	0	0	0	0	10	10	0	11	0	0	4.2
2	0	0	0	1	0	1	144.173	1.855	341.256	0	46.029	295.227	0	531.772	1	0.75	0.0064742	0.0021978	0.9301822	17.305	5.963	7.121	4.844	2.7	-2.232	-2.308	-4.07	3625.825	0.149	1990.685	-1.232	8.598	0.494	1	-0.171	3	100	0	0	20.903	1	0	10	10	0	11	0	0.00520217	4.54
5	0	0	0	8	0	0	144.256	1.988	441.995	385.014	56.982	0	0	698.738	1	1.7	0.0056567	0.0038462	0.8615696	16.673	5.14	6.603	2.545	2.776	-2.382	-1.431	-3.772	2854.569	-0.43	1537.218	-1.802	10.932	-2.996	1	-0.166	3	100	0	0	23.241	1	0	0	0	0	10	0	0.0117846	4.41
5	0	0	0	7	0	0	130.23	1.952	409.588	352.605	56.982	0	0	638.943	1	1.7	0.0059663	0.0041505	0.8759102	14.922	4.605	6.059	2.687	2.991	-2.27	-1.164	-3.54	2854.558	-0.354	1537.211	-1.898	10.931	-3.001	1	-0.284	3	100	0	0	23.241	1	0	0	0	0	9	0	0.0130538	3.98
6	0	0	0	6	0	0	126.198	1.7	387.618	287.17	45.273	55.174	0	593.968	1.5	1.7	0.0048636	0.0053714	0.8815965	14.291	4.581	6.627	3.883	2.406	-1.739	-1.06	-3.711	3686.151	-0.186	2026.509	-1.583	11.081	-1.714	1	-0.412	3	100	0	0	21.386	1	0	0	0	0	9	0	0.0164983	5.49
11	0	0	0	2	0	1	60.096	2.024	247.544	190.562	56.982	0	0	339.96	1	1.7	0.0120506	0.0068675	0.9516217	6.167	2.008	3.404	3.4	0.25	0.612	-0.049	-2.315	2854.543	0.023	1537.203	-2.378	10.928	-3.122	1	-0.822	3	90.258	0	0	23.242	1	0	0	0	0	4	0	0.0282882	1.12
5	0	0	0	10	0	0	172.31	1.987	506.816	449.834	56.982	0	0	818.335	1	1.7	0.0048225	0.0033543	0.834838	20.175	6.25	7.687	2.26	3.261	-3.237	-1.98	-4.204	2854.587	-0.584	1537.228	-1.61	10.933	-2.99	1	0.075	3	100	0	0	23.241	1	0	0	0	0	12	0	0.00986601	5.22
9	0	0	0	1	0	2	149.404	3.935	280.428	49.156	47.071	0	184.201	406.525	1	1.7	0.0380856	0.0060622	0.9463851	9.473	3.967	5.798	3.697	0.965	-1.119	-1.53	-2.4	3544.23	0.605	10000	-2.291	10.66	0.285	1	-0.621	3	96.128	0	0	21.757	1	0	0	0	0	6	0	0.0113786	2.8
10	1	0	0	2	0	2	87.164	1.56	292.375	243.335	49.04	0	0	442.301	2	1	0.0055031	0.004837	0.9602177	10.263	3.491	5.784	4.229	0.415	0.9	0.602	-2.902	846.743	0.487	457.233	-4.294	9.337	-3.095	2	-0.61	3	81.779	0	0	23.439	1	0	0	0	0	6	0	0.0162248	2.26
1	0	0	0	4	0	1	269.127	2.35	462.455	36.272	65.142	217.895	143.146	777.938	2	1.5	0.0070999	0.0045871	0.8845564	24.492	8.951	12.014	6.332	3.466	-3.823	-4.593	-4.439	2388.696	0.119	7713.499	-1.568	9.193	0.26	3	0.134	3	100	0	0	36.472	2	0	12	12	0	17	0	0.00788225	5.94
4	0	0	0	1	0	2	231.893	2.364	358.249	0	47.861	71.801	238.588	560.383	1	0.75	0.00997	0.0020935	0.9175644	16.316	6.261	7.632	3.461	3.503	-2.762	-3.883	-3.208	3483.671	0.71	10000	-2.053	9.368	0.649	1	-0.092	3	100	0	0	21.484	1	0	6	6	0	11	0	0.00323423	5.74
5	0	0	0	1	0	2	231.893	0.695	359.963	0	41.292	69.76	248.911	562.26	1	0.75	0.0008602	0.0020835	0.9152342	16.372	6.27	7.537	3.411	3.515	-2.765	-3.883	-3.236	4020.926	0.785	10000	-1.939	9.3	0.644	1	-0.087	3	100	0	0	20.498	1	0	6	6	0	11	0	0.00323418	5.35
