moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA.	moei3D_ASA..1	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA.	moei3D_CASA..1	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA.	moei3D_FASA..1	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA.	moei3D_FCASA..1	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol	Class
-101200	-719400	-161.8	-8.691	8.691	-0.3011	6.738	663.8	147.5	94.2	537	126.8	601.7	384.3	53.3	217.4	81.72	11.23	6.605	71.61	0.0002267	1.421e-14	1.421e-14	-26.28	0.38	2.887	29.66	-4.387	65.01	0.2222	0.1419	0.809	0.191	0.9065	0.579	-101500	-709400	-149.6	-9.038	9.038	-0.2256	6.058	-93730	-706000	-162.3	-8.848	8.848	-0.4954	6.149	393	0.9801	2.025	1.776	0.8887	-0.3974	0.02412	8405	3611	4626	167.8	4.998	5.504	1.615	0.8547	343.2	DoesNot
-15220	-41250	-62.66	-10.88	10.88	3.565	1.551	195.7	41.88	22.24	131.6	64.12	28.48	15.13	19.63	13.35	-0.996	0.3087	-5.329e-15	0.5981	0	0	0	-5.39	0.02365	0.2416	0.5123	-2.168	0.5981	0.214	0.1137	0.6724	0.3276	0.1455	0.07728	-15310	-41380	-62.99	-11.3	11.3	3.517	1.4	-14380	-40470	-56.85	-10.9	10.9	3.334	1.449	77.67	0.8208	0.4622	-0.3907	0.2469	0.0052	0.2172	66.36	22.16	41.05	3.147	1.2	1.264	0.705	0.5889	56.12	Crosses
-107900	-897700	-217	-10.09	10.09	-0.02816	3.144	538.8	107.6	130.8	357.2	181.5	374.6	455.3	23.17	80.68	194.7	11.66	8.267	168.5	0.001781	5.684e-14	5.684e-14	-25.19	-0.1069	4.939	118.6	9.715	160.2	0.1997	0.2427	0.663	0.337	0.6953	0.845	-108200	-879400	-162.3	-10.26	10.26	-0.2859	2.185	-101200	-886400	-195.2	-10.4	10.4	-0.3395	2.175	345.9	1.067	0.6697	0.5278	-0.3775	0.1656	0.1116	4999	2562	1578	858.7	3.724	3.156	1.756	1.054	337.9	DoesNot
-53150	-302800	66.83	-8.796	8.796	-0.1657	4.79	390.2	167.2	130.5	330.1	60.08	357.8	279.2	36.73	78.6	73.12	25.1	4.52	31.01	0.0009518	0	0	-9.377	0.4372	2.117	12.11	14.45	26.49	0.4285	0.3344	0.846	0.154	0.917	0.7156	-53300	-302000	28.99	-9.215	9.215	-0.2141	3.698	-48540	-293800	28.36	-8.857	8.857	-0.2549	4.552	216.3	0.9881	1.099	1.044	0.2221	0.2629	0.06619	1331	303.9	976.1	51.41	2.66	2.725	1.453	0.701	190.5	Crosses
-64590	-296200	-238.3	-9.486	9.486	-0.2966	2.625	328.6	135.7	126.5	85.88	242.7	471.5	439.7	9.158	31.82	44.26	11.85	23.64	31.5	5.544e-05	0	0	-25.63	-0.7446	1.369	6.871	0.2949	7.857	0.413	0.3851	0.2614	0.7386	1.435	1.338	-64900	-294000	-249.2	-9.481	9.481	-0.4038	5.167	-59870	-289800	-235	-9.428	9.428	-0.2325	2.467	172.1	1.276	1.291	-1.245	-0.09444	0.3308	0.1319	1044	365.4	513.4	165.4	2.435	2.242	1.155	0.8142	138	DoesNot
-80060	-499700	-122.9	-9.2	9.2	0.08285	2.062	558.4	181.4	126.2	384.1	174.3	735.7	511.7	55.24	224.1	53.98	8.877	7.296	50.18	0.0003576	0	0	-18.68	-0.1274	1.937	11.53	-6.886	42.88	0.3249	0.2259	0.6879	0.3121	1.318	0.9164	-80330	-493500	-105.8	-8.928	8.928	0.05651	3.568	-73890	-488700	-113.8	-9.113	9.113	0.1986	3.4	317.4	0.9787	1.161	0.9493	0.2989	0.5974	0.0361	5600	2647	2709	244.1	4.585	4.8	1.179	0.912	272.1	DoesNot
-84450	-608800	-111.3	-9.587	9.587	0.2411	1.595	532	161.6	106.5	434.8	97.18	546.7	360.3	55.08	186.4	66.9	8.661	0.2526	58.83	0.0001304	-1.421e-14	-1.421e-14	-10.69	-0.2861	4.307	20.84	-4.613	58.58	0.3037	0.2002	0.8173	0.1827	1.028	0.6772	-84710	-599300	-97.81	-9.428	9.428	0.1098	1.706	-78700	-596500	-110.5	-9.409	9.409	0.1308	1.678	322.2	1.001	0.2301	0.02687	0.1968	-0.1163	0.1065	4032	1334	1792	906.2	3.733	3.682	1.469	1.202	289.1	DoesNot
-61530	-320100	-90.05	-9.596	9.596	-0.2102	1.486	401.2	161.7	183.6	250.5	150.7	506.4	574.7	21.83	68.35	25.99	4.049	-12.77	22.26	0.0002985	0	0	-12.05	0.291	1.353	11.24	-1.964	35.03	0.4031	0.4576	0.6243	0.3757	1.262	1.432	-61230	-316200	-76.1	-9.809	9.809	-0.5453	0.9517	-56190	-312600	-83.1	-9.471	9.471	-0.2969	1.527	222.8	1.093	0.6744	-0.004696	-0.3465	0.5786	0.1921	2235	121.7	1858	254.8	3.234	2.442	1.288	1.07	195.5	DoesNot
-113500	-853300	-122.7	-9.027	9.027	-0.624	4.806	547	180.2	153.9	363	184	773.2	660.5	26.27	112.7	154.1	43.54	11.97	105.2	0.0001267	-1.421e-14	-1.421e-14	-12.13	-0.03824	3.668	64.38	1.669	93.25	0.3295	0.2815	0.6637	0.3363	1.414	1.208	-113800	-848900	-155.1	-9.145	9.145	-0.8097	4.844	-105000	-840800	-146.2	-9.097	9.097	-0.6374	4.529	326.4	1.157	1.178	0.5962	1.014	0.05966	0.2021	4872	1650	2465	757.2	3.642	3.014	1.94	1.355	317.4	Crosses
-108200	-744800	-79.7	-9.391	9.391	-0.7361	3.896	654.9	185.1	286.7	584.7	70.21	685.6	1062	101.6	376.3	72.94	4.534	-0.3957	75.21	0.000409	-7.105e-14	-7.105e-14	-14.6	0.9628	2.586	14.1	-10.36	75.61	0.2826	0.4377	0.8928	0.1072	1.047	1.621	-108100	-735800	-65.04	-9.474	9.474	-0.5437	2.854	-101100	-732500	-79.59	-9.45	9.45	-0.7192	3.473	392.4	1.151	1.309	0.0259	-1.177	0.5715	0.04112	16150	624.1	13600	1931	6.199	4.945	1.291	1.003	365.1	Crosses
-64880	-400400	-29.83	-9.494	9.494	-0.5757	2.791	459.2	80.77	155.8	422.7	36.5	181.5	350	74.99	168.5	62.87	3.362	11.39	67.1	0.0001457	0	0	-8.181	0.6578	1.703	19.65	-9.954	55.71	0.1759	0.3392	0.9205	0.07948	0.3952	0.7622	-64590	-394300	-18.8	-9.769	9.769	-0.5863	2.9	-59750	-393400	-43.18	-9.343	9.343	-0.6019	2.77	264.8	0.9922	1.307	-1.227	0.4346	-0.1175	0.1285	2872	620.4	2044	207.8	3.461	3.003	1.289	1.076	241.6	Crosses
-60620	-330600	8.599	-8.962	8.962	-0.3491	3.567	368.5	152	61.34	203.6	165	423.3	170.8	90.66	252.5	-16.23	17.45	-56.14	-31.18	0.0002947	0	0	-13.32	0.02909	2.259	13.86	-4.788	24.96	0.4125	0.1664	0.5524	0.4476	1.149	0.4636	-60810	-329700	-30.91	-9.127	9.127	-0.3826	4.021	-53930	-319100	-48.7	-8.976	8.976	-0.5335	3.94	200.7	1.119	0.778	-0.5612	0.5387	0.01369	0.0372	1170	679.7	485.4	4.894	2.455	2.306	1.878	0.4449	173.5	Crosses
-64990	-418000	51.98	-8.569	8.569	-0.451	3.592	431.5	249.1	182.4	348.5	82.99	802.3	587.6	66.65	214.7	122.4	7.058	-19.24	38.64	0.01406	0	0	-12.27	-1.37	33.31	44.83	44.75	57.88	0.5772	0.4228	0.8077	0.1923	1.859	1.362	-65080	-417900	42.45	-8.771	8.771	-0.5468	3.617	-59470	-409100	36.03	-8.983	8.983	-0.6135	3.646	248.3	1.024	0.9582	0.7886	0.5425	-0.04406	0.2319	1795	596	940.1	259.3	2.757	2.482	1.694	1.195	230.8	Crosses
-105200	-827900	-142.6	-8.596	8.596	0.3023	3.686	742.8	120.2	81.5	683.8	58.99	399.1	270.6	38.71	128.5	78.94	11.75	-16.24	81.79	0.0002047	-1.776e-14	-1.776e-14	-7.47	-0.1217	3.055	51.94	-17.54	98.03	0.1619	0.1097	0.9206	0.07942	0.5373	0.3643	-105600	-828900	-123.4	-8.823	8.823	0.1076	2.765	-98020	-815300	-143.9	-8.751	8.751	0.1502	3.515	447.3	0.9214	0.8879	-0.5787	0.6719	0.04563	0.0623	9730	1752	7253	724.9	5.166	5.189	2.305	1.295	395.6	Crosses
-140600	-1221000	-107.8	-9.189	9.189	-0.5622	5.195	868.6	294.5	259.7	742.6	126	1676	1478	34.79	198	123.8	9.304	2.99	117.5	0.000507	-3.553e-14	-3.553e-14	-27.59	1.018	3.737	27.31	-7.784	114.6	0.339	0.2989	0.8549	0.1451	1.929	1.701	-140900	-1200000	-47.37	-9.222	9.222	-0.6506	4.376	-131400	-1205000	-96.81	-9.155	9.155	-0.5543	4.667	549.1	0.9749	1.756	1.639	-0.09558	-0.6239	0.03786	24360	12440	10780	1137	6.982	6.643	1.833	1.292	512.5	DoesNot
-110300	-836300	-68.91	-9.118	9.118	0.02602	2.139	664.4	237.7	245.7	520	144.4	1239	1281	7.982	41.62	121.9	8.51	35.22	117.4	0.0004371	3.553e-14	3.553e-14	-17.54	1.019	2.458	24.36	-7.534	82.2	0.3578	0.3698	0.7827	0.2173	1.865	1.928	-110100	-833900	-61.69	-9.302	9.302	-0.3384	1.297	-101400	-818000	-78.69	-9.118	9.118	-0.1168	2.061	407.7	1.044	0.6209	0.2237	-0.5792	-0.005729	0.1401	8075	1867	4046	2162	4.557	3.669	2.081	1.373	372.5	DoesNot
-100100	-598100	48.57	-13.02	13.02	-6.715	12.6	499.1	163.2	269	220.6	278.5	911.4	1233	105.7	321.5	84.51	4.27	24.17	67.52	0.0002233	0	0	-84.89	0.6436	8.884	23.45	3.187	43.35	0.3271	0.539	0.442	0.558	1.826	2.47	-99480	-590900	72.38	-13.2	13.2	-6.844	12.27	-90390	-590800	54.87	-12.62	12.62	-6.528	10.6	298	1.253	5.073	1.727	4.276	-2.115	0.128	4331	881.6	2173	1277	3.656	2.859	1.782	1.023	258.6	DoesNot
-78850	-556700	62.91	-7.521	7.521	-0.2743	1.691	533.6	184.7	205.4	441.5	92.09	518.8	576.9	20.68	58.1	84.17	7.034	0.1898	73.05	0.001331	0	0	-4.636	0.1601	1.683	14.84	2.244	72.86	0.3461	0.3849	0.8274	0.1726	0.9722	1.081	-79310	-552600	58.56	-8.474	8.474	-0.4736	1.712	-72270	-545200	47.25	-8.009	8.009	-0.3771	2.281	328.3	1.04	0.5584	-0.441	0.3253	0.1076	0.06373	4194	1826	1845	523	3.627	3.028	2.303	0.7643	306.5	Crosses
-60960	-314600	60.21	-9.229	9.229	-0.2024	0.502	411.6	144.7	179.5	329.5	82.06	415.1	514.9	34.79	99.83	38.23	15.93	-21	-0.5914	0.0003475	0	0	-14.66	0.02004	1.088	8.917	21.79	20.4	0.3515	0.436	0.8006	0.1994	1.009	1.251	-60150	-312200	33.28	-9.646	9.646	-0.5636	0.9444	-53610	-304200	32.31	-9.017	9.017	-0.196	1.073	227.2	1.177	0.4649	0.3447	-0.3032	-0.07338	0.151	1683	310.7	795.8	576.7	2.705	2.739	1.192	1.064	195.5	Crosses
-86720	-673100	-55.56	-8.635	8.635	0.2177	4.008	478.3	166.8	75.55	341.1	137.2	563.6	255.2	91.28	308.4	160.1	29.26	15.44	127.7	0.02116	0	0	-11.68	-0.9032	4.538	60.59	-0.507	112.3	0.3488	0.158	0.7131	0.2869	1.178	0.5336	-86970	-666200	-60.25	-8.833	8.833	-0.1135	2.954	-80680	-660800	-68.68	-8.802	8.802	0.09634	3.766	287.4	1.063	0.8611	0.8512	-0.126	-0.03237	0.2668	2497	672.4	934.8	889.8	2.888	2.543	1.839	1.314	281.5	Crosses
-101100	-853000	-192.3	-10.04	10.04	0.0034	2.891	533.2	104.8	94.32	380.3	152.9	305	274.7	10.43	30.38	168.5	10.89	12.71	143.4	0.00189	1.421e-14	1.421e-14	-21.85	-0.4739	4.719	84.4	9.946	130.7	0.1965	0.1769	0.7132	0.2868	0.5721	0.5151	-101400	-835300	-140.1	-10.18	10.18	-0.2183	2.617	-95180	-842400	-185.7	-10.27	10.27	-0.1617	2.761	343.2	1.024	1.162	-1.099	-0.2874	0.2436	0.1149	4861	410.4	1000	3450	3.746	3.134	1.745	1.062	338.4	Crosses
-82600	-495300	-181.4	-8.366	8.366	0.9706	2.536	423.6	208.5	98.19	134.7	288.8	1159	545.7	110.4	613.3	27.8	17.32	-46.47	-19.41	0.000691	0	0	-31.52	-2.072	16.35	28.2	15.6	27.07	0.4924	0.2318	0.3181	0.6819	2.736	1.288	-82940	-492500	-191	-8.845	8.845	0.6449	2.278	-75020	-484300	-182.7	-8.632	8.632	0.4586	3.359	246	1.185	0.7865	0.3971	0.6775	-0.0436	0.08528	2192	541.2	1418	233.3	2.99	2.907	1.484	0.8489	207	DoesNot
-69660	-517800	55.14	-8.298	8.298	0.421	0.8726	525.5	214.4	139.6	465.5	60	633.9	412.7	74.81	221.2	77.71	9.363	-5.924	52.58	0.003905	2.487e-14	2.487e-14	-3.583	-0.1899	1.777	9.321	14.18	58.5	0.4081	0.2657	0.8858	0.1142	1.206	0.7854	-69790	-513600	58.08	-8.601	8.601	0.2169	1.095	-64480	-506900	44.4	-8.087	8.087	0.2429	0.8819	313.8	0.9246	0.4958	-0.1516	0.4492	0.1453	0.2579	2946	1273	1252	421.3	3.325	2.764	2.139	1.404	288.1	Crosses
-111000	-902900	-111.4	-8.96	8.96	0.1367	1.633	592.2	178.1	123.4	452.3	139.9	737.2	510.8	54.7	226.4	128.4	38.04	1.868	86.03	0.04665	-1.421e-14	-1.421e-14	-3.96	-0.1981	5.443	39.27	-0.9695	84.16	0.3008	0.2084	0.7638	0.2362	1.245	0.8625	-111300	-891400	-135.6	-8.987	8.987	-0.2331	2.082	-103100	-888100	-149	-9.092	9.092	0.0467	1.486	358.3	1.085	0.3489	0.08317	0.1176	-0.3177	0.2091	4426	2158	1184	1084	3.461	2.891	2.4	1.322	340.4	Crosses
-76880	-500500	46.41	-9.225	9.225	-0.6297	3.299	486.6	182.9	219.5	408	78.59	570.5	684.8	36.64	114.3	107.2	13.47	10.39	73.56	0.005239	0	0	-9.981	0.8051	2.361	13.09	17.03	63.18	0.3758	0.4511	0.8385	0.1615	1.172	1.407	-76540	-496200	35.79	-9.561	9.561	-0.845	2.647	-69870	-488200	29.48	-9.199	9.199	-0.7426	3.386	279.6	1.089	1.099	0.7111	-0.827	0.1318	0.1581	3029	1337	1375	317.2	3.261	2.76	1.85	1.097	261.5	Crosses
-46680	-222700	-77.31	-8.786	8.786	0.2466	2.327	347.6	182.2	105.4	184	163.5	482.6	279.1	76.83	203.5	19.06	2.32	-0.8248	20.59	0.000217	0	0	-14.53	-0.4287	1.121	2.434	-4.537	21.41	0.5242	0.3032	0.5295	0.4705	1.388	0.803	-46830	-221500	-79.69	-8.694	8.694	0.03821	2.01	-43060	-217600	-73.08	-8.863	8.863	0.1737	2.076	180.2	1.017	0.7529	-0.6378	-0.2186	-0.3352	0.05963	1069	612.1	401.6	55.4	2.642	2.507	1.315	0.6121	150.6	DoesNot
-57650	-296900	-116	-8.825	8.825	0.2502	2.519	388.1	182.3	110.2	211.4	176.7	590.5	356.9	72.12	233.6	33.18	2.693	5.204	31.22	0.000217	0	0	-16.08	-0.3606	1.284	4.28	-1.651	26.01	0.4698	0.284	0.5447	0.4553	1.522	0.9197	-57870	-294600	-119.2	-8.762	8.762	-0.00431	1.484	-53280	-290100	-112.4	-8.851	8.851	0.2333	2.398	207.6	1.045	0.9347	-0.846	-0.04076	0.3954	0.1028	1599	821.6	601.6	175.9	2.954	2.858	1.234	0.9163	175.4	DoesNot
-76040	-436700	-150.4	-9.528	9.528	0.3834	4.809	480.5	263.7	160.5	227.3	253.2	1185	721.3	103.2	463.8	-6.334	10.55	-53.69	-22.6	0.0001985	0	0	-13.4	0.2881	2.087	12.62	3.345	31.09	0.5489	0.3341	0.473	0.527	2.466	1.501	-76280	-433400	-134.2	-9.438	9.438	0.09746	4.951	-69610	-426700	-140.3	-9.686	9.686	0.202	5.099	262	1.09	1.018	-0.435	-0.4905	0.7783	0.1595	2595	1346	705.8	542.7	3.3	2.715	1.93	1.084	218.6	Crosses
-133000	-1015000	-98.75	-7.752	7.752	-0.5995	2.932	685.6	202.8	259.9	449.1	236.5	1072	1373	57.03	301.4	150.3	10.54	39.33	141	0.0003502	-2.22e-14	-2.22e-14	-2.124	1.381	4.504	34.16	-7.188	101.7	0.2958	0.379	0.655	0.345	1.564	2.003	-133600	-1012000	-118.1	-8.436	8.436	-0.8279	4.78	-122100	-996000	-145.9	-8.357	8.357	-0.8193	1.936	422.7	1.118	0.5178	-0.2157	-0.1696	-0.4391	0.1028	9354	4156	3349	1849	4.624	3.894	2.319	1.249	391.2	Crosses
-49690	-215700	-150.4	-10.47	10.47	0.8531	3.536	326.6	152.8	104.8	71.88	254.8	547	375.1	48.02	171.9	12.83	7.08	-6.611	5.757	8.432e-05	0	0	-22.32	0.4709	1.373	8.424	-1.855	12.37	0.4678	0.3208	0.2201	0.7799	1.675	1.148	-49890	-213300	-132.1	-10.84	10.84	0.9529	4.653	-45050	-209300	-139.9	-9.992	9.992	0.8014	4.379	166.9	1.121	0.9886	-0.881	-0.1666	0.4165	0.09557	1003	338.6	595.5	68.69	2.619	2.339	1.089	0.7231	130.4	DoesNot
-108700	-746300	-91.52	-9.349	9.349	-0.7294	3.712	640.3	190.4	266.7	570.1	70.21	717.9	1006	76.34	287.8	72.57	4.486	-0.5984	74.78	0.0005007	2.132e-14	2.132e-14	-15.02	1.015	2.64	14.15	-10.36	75.38	0.2974	0.4166	0.8904	0.1096	1.121	1.571	-108300	-736500	-75.52	-9.539	9.539	-0.5491	3.239	-100300	-732600	-94.09	-9.235	9.235	-0.7111	3.196	383.1	1.063	1.397	0.02679	-1.274	0.571	0.04118	12900	585.5	10510	1803	5.859	4.94	1.29	1.002	353.5	Crosses
-104600	-801900	-139.3	-8.615	8.615	0.296	2.253	744.1	134.7	87.38	665.8	78.35	447.2	290	47.36	157.2	55.34	11.95	-16.28	63.86	0.0001625	-1.421e-14	-1.421e-14	-3.55	-0.02346	3.195	34.85	-23.64	80.15	0.1811	0.1174	0.8947	0.1053	0.601	0.3898	-104900	-806300	-127.2	-8.899	8.899	0.07357	2.675	-97300	-784500	-136.1	-8.535	8.535	0.2336	2.64	438.6	0.9392	0.2239	-0.1414	0.1365	-0.1074	0.04176	10600	1941	8236	422.1	5.407	5.445	2.513	1.113	386	Crosses
-31920	-137100	39.09	-8.953	8.953	0.9069	4.354	297.8	175.8	54.16	157.2	140.6	326.4	100.6	121.6	225.8	6.907	3.411	3.569	7.223	7.836e-05	0	0	-17.12	0.2699	1.774	4.76	-5.771	3.654	0.5902	0.1819	0.5279	0.4721	1.096	0.3377	-32020	-136900	23.56	-9.082	9.082	0.7618	4.47	-28080	-131700	22.99	-9.158	9.158	0.6162	4.292	146.6	0.9419	1.143	0.6855	0.8705	-0.28	0.07355	530.6	66.39	431.4	32.84	2.185	2.246	1.003	0.6091	118	DoesNot
-108500	-928300	-226.3	-9.94	9.94	0.06625	5.433	544.7	126.5	109.1	354.2	190.5	454.4	392	17.37	62.39	150.3	11.69	18.99	119.8	0.0004135	2.842e-14	2.842e-14	-20.79	-0.1784	4.631	50.59	14.37	100.8	0.2322	0.2003	0.6503	0.3497	0.8342	0.7196	-108900	-910500	-169.8	-10.12	10.12	-0.1737	5.096	-101900	-917000	-219.6	-10.19	10.19	-0.1421	2.612	350.7	1.054	1.376	0.9332	0.9971	-0.1663	0.1785	4802	627.3	3576	599	3.64	3.022	1.715	1.276	343.9	DoesNot
-103500	-801500	-36.48	-9.075	9.075	0.03389	2.071	662.2	229.5	211.7	560	102.2	1073	989.3	17.85	83.42	123.2	5.011	39.94	121.7	0.0004297	6.395e-14	6.395e-14	-10.4	0.8469	2.213	20.49	-6.577	81.72	0.3466	0.3196	0.8457	0.1543	1.62	1.494	-103300	-794400	-24.49	-9.317	9.317	-0.3476	1.308	-95300	-783600	-38.8	-9.111	9.111	-0.1042	1.573	407	1.003	0.2992	0.1629	-0.1345	0.2119	0.1393	7447	1827	3904	1716	4.457	3.722	2.052	1.389	373.8	Crosses
-84570	-472500	-165.1	-9.811	9.811	-0.6542	4.79	446.6	135.6	198.6	233	213.6	562.6	824.2	63.05	261.7	43.65	11.76	-19.32	13.24	0.001244	0	0	-37.53	-0.7112	4.768	26.77	14.58	32.56	0.3035	0.4446	0.5217	0.4783	1.26	1.845	-84720	-468600	-179.1	-9.873	9.873	-0.6709	6.141	-76510	-461700	-170.6	-9.077	9.077	-0.97	4.491	254.9	1.593	1.589	-0.6408	1.454	-0.03798	0.07856	4336	1548	2582	205.4	3.499	2.759	1.494	0.7733	222.2	DoesNot
-73240	-565700	61.45	-8.357	8.357	0.44	0.9879	543.5	214.3	134.4	488.8	54.67	614.2	385.3	79.86	228.9	88.29	10.08	-6.212	60.15	0.00381	-3.553e-15	-3.553e-15	-1.072	0.01667	1.864	11.49	16.18	66.36	0.3943	0.2474	0.8994	0.1006	1.13	0.7089	-73390	-559500	63.79	-8.607	8.607	0.2271	0.8818	-67920	-553300	42.03	-8.062	8.062	0.2447	0.9867	330.9	0.9127	0.4831	-0.1817	0.4321	0.1166	0.2529	3257	1367	1364	526.7	3.408	2.857	2.098	1.436	307.2	Crosses
-18810	-61530	-68.04	-10.89	10.89	3.492	1.615	223.8	26.81	20.49	176.5	47.29	18.23	13.93	6.321	4.298	1.765	0.2888	-5.329e-15	2.71	0	0	0	-4.97	-0.0455	0.3947	0.7397	-1.583	2.71	0.1198	0.09155	0.7886	0.2114	0.08146	0.06226	-18920	-61430	-65.41	-11.21	11.21	3.307	1.435	-17830	-60440	-63.95	-11.04	11.04	3.276	1.526	96.78	0.8149	0.4616	0.1935	0.2528	0.3344	0.2732	113.4	42.59	50.13	20.7	1.374	1.274	1.002	0.666	73.75	Crosses
