moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA.	moei3D_ASA..1	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA.	moei3D_CASA..1	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA.	moei3D_FASA..1	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA.	moei3D_FCASA..1	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol	Class
-82710	-696400	14.54	-8.98	8.98	0.3017	3.19	535.3	190.2	127	494.8	40.47	602.2	402.3	63.15	200	184.9	2.915	11.43	186.3	0.0003993	0	0	-6.773	0.3309	1.935	101.4	-6.584	174.9	0.3553	0.2373	0.9244	0.07561	1.125	0.7515	-82890	-684700	44.15	-9.063	9.063	0.05106	2.196	-77480	-684600	1.514	-8.993	8.993	0.1363	3.241	337.2	0.9328	1.043	-0.7114	-0.5449	-0.5342	0.4369	3003	950.1	797.4	1256	3.115	2.455	1.976	1.623	331.8	Crosses
-129000	-1189000	1.78	-9.229	9.229	-0.02627	1.894	752.1	282.3	271.5	663.4	88.74	1532	1474	10.8	58.63	211.1	5.38	1.544	206.7	0.000365	-1.243e-14	-1.243e-14	-12.88	0.5997	3.266	95.83	-4.904	205.2	0.3754	0.361	0.882	0.118	2.037	1.959	-128800	-1167000	35.08	-9.336	9.336	-0.3736	1.384	-119300	-1170000	-13.92	-9.155	9.155	-0.1769	2.397	483.8	1.024	0.8912	0.09476	-0.8701	-0.1683	0.1759	12420	10100	1101	1219	5.102	4.053	1.935	1.7	465.8	DoesNot
-66550	-328500	-305.3	-10.6	10.6	2.805	0.02435	361.5	159.2	93.52	108.8	252.7	649.4	381.5	65.64	267.8	62.5	1.167	29.57	48.42	0	0	0	-34.28	0.2951	1.272	26.8	11.35	18.85	0.4403	0.2587	0.301	0.699	1.796	1.056	-66890	-324500	-283.1	-10.54	10.54	2.701	0.66	-62030	-322000	-271	-10.63	10.63	2.518	0.5782	196.5	1.144	0.06937	-0.00108	0.00024	0.06936	0.08596	1401	545.7	763.5	91.32	2.773	2.691	1.096	0.7889	159.2	DoesNot
-64800	-379400	-96.84	-8.87	8.87	0.2167	3.174	452.7	175.2	57.7	271.9	180.8	441.7	145.5	117.5	296.2	113.6	14.88	7.764	92.97	0.0002633	0	0	-7.976	-0.7584	1.327	51.09	5.175	85.21	0.387	0.1275	0.6006	0.3994	0.9757	0.3213	-65060	-377100	-101.7	-9.269	9.269	-0.2899	0.4164	-60140	-372700	-92.58	-9.11	9.11	0.09318	2.481	249.8	1	1	0.633	-0.3564	0.6875	0.06293	1868	999.2	770.7	97.86	2.973	2.625	2.16	0.6584	211.2	DoesNot
-96140	-796300	31.04	-7.608	7.608	-0.5074	5.188	623.5	192.7	166.5	508	115.5	603.7	521.4	26.28	82.3	103.8	9.534	2.372	92.03	0.0002075	0	0	-8.459	-0.1487	7.018	27.51	-4.637	89.65	0.3091	0.267	0.8148	0.1852	0.9683	0.8363	-97880	-785400	100.8	-8.645	8.645	-0.7677	5.098	-89450	-780200	19.14	-8.223	8.223	-0.6957	5.803	391.9	1.04	1.405	-0.7165	-0.8366	0.8716	0.09826	6181	2814	3176	191.3	3.999	3.138	2.669	0.9836	371.9	DoesNot
-141800	-1126000	-110.1	-7.837	7.837	-0.2649	4.583	716.8	365	231	264.3	452.5	3470	2196	134	1274	97.3	38.87	-63.81	30.8	0.001157	-5.684e-14	-5.684e-14	-18.1	-0.524	16.73	56.27	11.43	94.62	0.5092	0.3222	0.3687	0.6313	4.841	3.063	-142200	-1117000	-128.5	-8.391	8.391	-0.3479	3.733	-127000	-1098000	-155	-7.865	7.865	-0.622	2.734	450.8	1.132	0.7068	-0.07479	-0.1127	0.6937	0.05247	11130	2718	7353	1058	4.938	4.162	2.664	0.9533	403.2	DoesNot
-59100	-347600	-40.51	-9.786	9.786	0.04722	2.331	400.4	127	134.5	307.5	92.89	311.7	330	7.441	18.26	32.44	3.2	-13.81	22.01	0.0003103	0	0	-12.98	0.2037	2.371	8.444	4.659	35.81	0.3173	0.3359	0.768	0.232	0.7785	0.8241	-59260	-344600	-48.49	-9.683	9.683	-0.1515	2.411	-54700	-339300	-61.85	-9.905	9.905	-0.0412	2.146	224.5	1.016	0.3196	-0.2756	-0.1035	0.1245	0.1714	1441	231	869.4	340.9	2.663	2.433	1.502	1.007	200.1	Crosses
-79190	-504900	-132.9	-9.041	9.041	0.3112	1.785	583.4	154.8	95.23	473.1	110.3	502.3	309.1	59.53	193.2	56.49	7.556	10.92	53.32	0.0002594	0	0	-14.3	-0.03223	1.77	7.568	-6.125	42.4	0.2653	0.1632	0.8109	0.1891	0.8611	0.5299	-79480	-498700	-116.9	-8.888	8.888	0.1115	1.822	-73940	-497900	-121.2	-9.169	9.169	0.1809	1.417	335.4	0.9332	0.6448	0.4661	0.2336	0.3794	0.03689	6198	3054	2919	225.8	4.815	5.071	1.275	0.974	286.5	Crosses
-157600	-1228000	-252.3	-10.08	10.08	-1.108	5.006	711.7	207.9	287.5	436	275.8	1453	2009	79.65	556.5	182.3	12.39	3.747	106.4	0.000141	1.137e-13	1.137e-13	-50.66	1.828	3.771	51.88	57.92	102.7	0.2921	0.404	0.6125	0.3875	2.041	2.823	-157600	-1216000	-246.1	-10.21	10.21	-1.469	6.313	-142300	-1204000	-202.2	-9.004	9.004	-1.371	3.77	491.7	1.746	1.971	0.9263	-0.5874	-1.638	0.07516	14590	6300	3168	5125	4.3	4.245	2.337	1.164	451.9	Crosses
-83140	-626500	-29.6	-8.815	8.815	0.1707	3.025	447.7	173.5	90.09	307.7	140	615.5	319.7	83.36	295.8	123.2	25.13	9.94	94.9	0.04631	1.421e-14	1.421e-14	-12.59	-0.8221	4.485	44.17	-0.5342	84.96	0.3875	0.2013	0.6873	0.3127	1.375	0.7141	-83370	-618200	-68.57	-8.576	8.576	0.04788	2.871	-77250	-614000	-76.58	-8.864	8.864	0.1155	2.364	270.2	1.089	0.8698	0.6155	0.5968	-0.1466	0.3728	2119	570	683.4	866	2.725	2.241	1.695	1.368	262	DoesNot
-43510	-250400	33.94	-9.128	9.128	0.03348	2.63	356.4	143.4	43.75	307.2	49.21	268.6	81.97	99.62	186.6	63.34	6.072	-0.9044	54.15	8.934e-05	0	0	-7.152	-0.0708	2.45	32.21	0.7404	55.05	0.4023	0.1228	0.8619	0.1381	0.7537	0.23	-43610	-247400	27.47	-9.27	9.27	-0.1159	2.025	-39780	-244700	21.08	-9.067	9.067	-0.1524	2.321	192.6	0.9231	0.7665	0.6926	0.2549	-0.2069	0.2411	922.8	418	165.1	339.7	2.385	2.169	1.215	1.065	175.8	Crosses
-54070	-263900	-118.2	-8.82	8.82	0.2101	3.324	351.9	188.6	119.8	159.3	192.6	627.9	398.8	68.81	229	33.65	2.371	7.663	31.85	0.000217	0	0	-20.41	-0.3887	1.203	3.976	-1.38	24.18	0.5361	0.3405	0.4526	0.5474	1.784	1.133	-54270	-262100	-120.7	-8.834	8.834	-0.09816	2.845	-49830	-257700	-110.2	-8.89	8.89	0.166	2.828	186.5	1.078	1.109	-1.028	-0.4067	-0.08132	0.0751	1227	646.3	508.1	72.96	2.694	2.535	1.301	0.6946	156.9	DoesNot
-43720	-207000	-152.3	-10.45	10.45	2.32	2.499	320.4	14.69	24.96	280.8	39.65	24.68	41.93	10.27	17.25	-8.137	4.197	-29.64	-13.66	0	0	0	0.06122	0.378	0.8474	6.638	0.09858	15.99	0.04585	0.07789	0.8763	0.1237	0.07703	0.1308	-43930	-205000	-141.5	-10.68	10.68	2.617	1.665	-40990	-203600	-138.2	-10.68	10.68	2.404	2.446	158.4	0.9817	0.7296	-0.3074	0.2139	0.6261	0.1987	512.1	236.8	138.1	137.2	1.968	1.786	1.575	0.796	134.6	Crosses
-39920	-200600	91.25	-10.66	10.66	0.138	6.305	301	26.03	50.48	239.6	61.41	19.68	38.17	24.44	18.48	15.23	6.343	-1.886	9.068	0.0001328	0	0	-12.36	0.6665	5.683	12.19	-6.532	10.95	0.08647	0.1677	0.796	0.204	0.06538	0.1268	-40070	-199700	30.31	-10.98	10.98	-0.08794	5.833	-34880	-192700	66.69	-10.76	10.76	-0.3078	6.467	154.8	1.044	1.485	-1.464	-0.2514	0.01186	0.2723	559.6	332.6	167	60.06	2.012	1.553	1.41	0.8106	132.4	Crosses
-105100	-826300	23.65	-7.529	7.529	-0.2651	3.001	658.3	207.6	228.7	524.5	133.8	892.6	983.1	21.06	90.53	134.6	8.786	30.95	130.5	0.001127	0	0	-9.826	0.708	2.603	28.56	-7.968	99.55	0.3154	0.3474	0.7968	0.2032	1.356	1.493	-105600	-824300	19.24	-8.381	8.381	-0.4915	2.424	-96210	-810600	7.657	-7.955	7.955	-0.4268	2.189	405.6	1.058	0.6854	-0.3105	-0.4937	0.3599	0.101	8152	2940	2021	3191	4.492	3.931	2.092	1.249	381.8	Crosses
-31890	-152200	10.88	-9.316	9.316	0.4197	1.412	325.8	158.5	107.3	251.4	74.36	298.5	202.1	51.18	96.4	21.52	0.4126	6.076	24.98	0.0002138	0	0	-7.567	-0.003497	0.6696	1.222	-4.538	18.9	0.4865	0.3294	0.7717	0.2283	0.9163	0.6204	-31960	-151300	15.51	-9.339	9.339	0.1522	1.523	-29510	-148400	15.27	-9.378	9.378	0.2578	1.328	164.5	0.8734	0.3518	0.07392	-0.04003	-0.3416	0.07378	665.7	419.9	194.1	51.67	2.344	2.334	1.192	0.6339	138.8	Crosses
-70950	-432200	-79.54	-10.01	10.01	-0.1853	1.78	411.4	152.6	172	250.3	161.1	546.7	616.3	19.42	69.61	15.86	10.76	-49.3	-4.113	0.0003051	0	0	-19.57	-0.4256	2.447	15.98	7.191	45.18	0.3708	0.418	0.6084	0.3916	1.329	1.498	-71140	-427700	-81.23	-9.826	9.826	-0.323	2.056	-64860	-420900	-97.29	-10.06	10.06	-0.3286	1.79	232.4	1.105	0.2005	0.05779	0.1514	-0.1181	0.1837	1664	303.9	962.6	397.2	2.677	2.326	1.605	0.9971	210.2	Crosses
-72380	-466400	10.3	-9.688	9.688	-0.08579	3.205	447	230.2	216.8	320.5	126.4	954.6	898.9	13.43	55.71	49.72	8.027	-20.94	31.29	0.0004419	0	0	-16.09	0.7129	2.164	15.88	7.519	52.24	0.515	0.485	0.7171	0.2829	2.136	2.011	-72520	-463000	-7.383	-9.638	9.638	-0.2696	3.398	-66260	-455300	-11.27	-9.858	9.858	-0.2811	3.073	255	1.063	0.4792	0.3325	-0.2607	-0.226	0.3433	2096	833.2	912.7	350.3	2.883	2.335	1.766	1.368	237.2	Crosses
-69070	-432800	-67.83	-8.784	8.784	-0.0875	3.114	497.7	157	100.1	380.9	116.8	519.7	331.2	56.96	188.5	54.98	13.49	-0.1472	43.8	0.0002849	0	0	-12.62	0.7202	2.161	13.06	-5.189	43.95	0.3155	0.201	0.7654	0.2346	1.044	0.6654	-69280	-432400	-48.61	-9.056	9.056	-0.3767	2.563	-63670	-424700	-73.26	-8.844	8.844	-0.2686	2.449	289.3	0.9472	0.442	-0.4214	0.0308	0.1298	0.1212	3011	743.6	2081	186.4	3.57	3.477	1.564	1.21	249.5	Crosses
-70550	-509600	69.9	-7.389	7.389	-0.04096	2.358	514.5	207.8	161.3	420.7	93.79	578.2	448.6	46.57	129.6	85.99	6.976	2.63	75.13	0.001276	0	0	-3.78	0.07557	1.605	14.96	2.202	72.5	0.404	0.3134	0.8177	0.1823	1.124	0.872	-71460	-506800	68.03	-8.133	8.133	-0.09093	1.907	-65320	-498300	55.18	-7.849	7.849	-0.1828	2.744	310.6	0.9778	0.8218	-0.8086	0.1134	-0.09327	0.06358	3436	1646	1304	486.4	3.476	3.028	2.279	0.7635	290.9	Crosses
-73460	-481100	-57.63	-8.515	8.515	-0.2933	1.302	537.4	160.6	147	482.7	54.69	480.7	440	13.6	40.69	66.46	6.219	14.03	66	0.0002085	2.132e-14	2.132e-14	-9.014	-0.2684	3.855	8.37	-9.351	51.97	0.2989	0.2736	0.8982	0.1018	0.8944	0.8187	-73670	-476800	-49.32	-8.333	8.333	-0.3261	0.9893	-68460	-471900	-20.85	-8.627	8.627	-0.4321	1.124	305.4	0.9483	0.7327	0.2963	-0.6679	-0.0542	0.03115	4458	1210	3159	89.12	4.146	4.299	1.512	0.7588	273.5	Crosses
-112400	-845900	-82.58	-10.05	10.05	-0.3577	4.715	577.7	175.7	121.8	311.7	266	1158	803	53.91	355.4	142.6	34.28	-2.166	56.89	0.001124	4.263e-14	4.263e-14	-38.42	-0.1829	35.68	94.74	15.89	59.06	0.3042	0.2108	0.5395	0.4605	2.005	1.39	-112700	-835300	-79.67	-10.31	10.31	-0.5159	6.874	-101100	-822900	-119.6	-9.669	9.669	-0.662	7.479	360.8	1.119	3.41	-1.078	-2.921	1.392	0.07007	5582	1348	3715	518.6	3.925	3.549	2.057	0.9395	323.9	Crosses
-25190	-104000	-26.63	-9.692	9.692	3.443	0.003	290.7	115.4	38.49	136.8	153.9	228.5	76.21	76.89	152.2	-6.264	0.6839	-0.215	5.302	0	0	0	-10.02	0.0139	0.8266	0.9418	-13.09	5.517	0.3969	0.1324	0.4707	0.5293	0.7859	0.2622	-25300	-103400	-16.02	-10.36	10.36	3.028	0.002	-22700	-100700	-17.43	-9.486	9.486	2.829	0.001	140.5	0.8316	0.001276	-0.00036	-0.00099	-0.00072	0.1082	449.2	124.4	315.9	8.894	2.257	2.129	0.8742	0.7001	106	DoesNot
-91170	-578800	171.8	-10.64	10.64	-5.269	18.89	616.5	210	152	388.5	228	1112	652.8	58.05	459.4	57.25	17.58	-16.67	11.49	0.0002826	0	0	-87.85	0.8473	10.47	29.02	16.87	28.16	0.3407	0.2465	0.6302	0.3698	1.804	1.059	-92280	-578100	167.6	-10.79	10.79	-5.059	20.67	-83030	-561900	153.5	-10.62	10.62	-5.257	19.37	360.4	1.039	6.72	2.099	-5.586	3.091	0.04075	9216	911.7	6001	2303	5.405	5.534	1.175	1.117	303.5	DoesNot
-186200	-1810000	-245.1	-7.994	7.994	-0.5568	2.537	938.6	295.1	148.5	664.9	273.6	1840	925.5	146.7	914.3	255.3	39.43	-4.165	201.5	0.0004181	-1.421e-14	-1.421e-14	-19.83	-0.6625	7.491	117.7	7.527	205.7	0.3144	0.1582	0.7084	0.2916	1.96	0.9861	-186800	-1777000	-269.3	-8.181	8.181	-0.7977	3.886	-172800	-1782000	-275.6	-8.212	8.212	-0.5717	3.693	602.9	1.07	1.054	-0.908	0.2592	0.4692	0.06933	23900	1438	20580	1885	6.266	6.031	1.851	1.588	569.1	DoesNot
-80850	-547500	-102.4	-8.699	8.699	0.1942	3.406	535.4	132.1	83.72	396.3	139.2	345.9	219.2	48.38	126.7	95.04	17.85	-6.642	65.78	0.000151	0	0	-12.37	-0.8662	4.33	37.6	7.939	72.42	0.2467	0.1564	0.7401	0.2599	0.646	0.4094	-81120	-542200	-105.5	-9.075	9.075	-0.2623	3.558	-75250	-537500	-104.4	-8.896	8.896	0.02584	3.09	301.9	1.006	0.621	-0.2756	-0.03666	0.5552	0.09433	3791	2617	989.6	183.9	3.71	3.193	2.188	0.9806	273.8	Crosses
-90180	-608100	-118.7	-9.013	9.013	0.3414	3.23	613.2	158.7	112.6	465.6	147.6	618.4	438.5	46.17	179.9	60.98	10.4	5.576	63.72	0.0002465	-2.842e-14	-2.842e-14	-27.07	0.1934	2.554	27.47	-15.9	58.15	0.2588	0.1835	0.7593	0.2407	1.008	0.7151	-90480	-602500	-106.7	-8.89	8.89	0.1095	1.427	-83510	-596300	-95.12	-9.041	9.041	0.1664	2.57	354.7	0.9789	0.8953	0.8749	0.1354	0.1329	0.0463	8469	2127	5845	497.2	5.257	5.15	1.383	1.108	313	DoesNot
-50240	-268200	22.1	-8.479	8.479	-0.9797	2.7	379.5	177.6	113.7	212.4	167.1	519.5	332.6	63.91	186.9	57.4	18.42	-1.216	15.61	0.0002013	0	0	-14.24	-1.317	33.77	43.24	-9.08	16.83	0.468	0.2996	0.5597	0.4403	1.369	0.8764	-50370	-267600	5.34	-8.631	8.631	-1.088	2.369	-45820	-262400	10.68	-8.585	8.585	-1.141	2.468	203	0.9949	0.7767	-0.2515	0.6547	-0.3336	0.06217	1318	732.8	530.5	54.88	2.735	2.523	1.583	0.629	177.1	DoesNot
-77980	-488000	-102.8	-9.314	9.314	-0.7161	5.151	515.8	142.8	132.4	373.3	142.5	625.7	580.1	10.42	45.65	31.2	7.058	-14.97	17.14	0.0003429	0	0	-7.145	-1.135	4.126	11.23	4.01	32.11	0.2769	0.2567	0.7237	0.2763	1.213	1.125	-78910	-481000	37.97	-9.595	9.595	-1.859	4.585	-72000	-474700	-102.4	-9.254	9.254	-0.5452	3.49	303.4	1.058	1.269	0.941	-0.7755	0.3497	0.09985	4211	226.2	3578	406.3	3.932	3.737	1.358	1.181	257.5	DoesNot
-41060	-210800	-33.75	-9.477	9.477	2.899	0.9477	410.3	138.5	42.24	229.5	180.7	398.8	121.7	96.24	277.2	-9.501	1.407	-0.2745	10.9	0	0	0	-14.99	0.1002	1.407	1.403	-23.32	11.17	0.3375	0.103	0.5595	0.4405	0.9721	0.2965	-41230	-209200	-18.21	-10.19	10.19	2.717	1.261	-37140	-205000	-23.95	-9.365	9.365	2.409	1.11	216.2	0.8569	0.4018	-0.2172	0.1507	-0.3027	0.03742	1935	568.9	1352	14.28	3.65	3.599	0.897	0.6963	169.5	DoesNot
-56920	-332800	-40.84	-9.453	9.453	2.78	1.804	529.2	161.3	45.79	322.1	207.1	609.7	173.1	115.5	436.6	-12.8	2.11	-0.3763	16.45	0	5.684e-14	5.684e-14	-19.48	0.1906	1.989	1.847	-33.54	16.83	0.3048	0.08653	0.6086	0.3914	1.152	0.3271	-57150	-329800	-20.31	-10.16	10.16	2.651	1.917	-51570	-324400	-30.47	-9.335	9.335	2.345	1.906	291.9	0.8497	0.611	-0.00603	0.0027	-0.611	0.01914	5182	1560	3602	19.63	5.06	5.035	0.9052	0.6966	238.1	DoesNot
-123800	-910100	-484.8	-10.16	10.16	2.126	4.375	496.6	236.4	79.25	180.9	315.7	1683	564.3	157.2	1119	180.7	7.619	75.92	127.8	0	0	0	-60.14	0.5151	3.606	54.52	41.15	51.85	0.4761	0.1596	0.3643	0.6357	3.39	1.136	-124400	-887600	-488.3	-10.41	10.41	2.308	4.685	-115100	-892500	-477.5	-10.85	10.85	1.286	2.1	323.5	1.242	0.2316	0.1486	0.122	0.1291	0.3636	3053	789.9	1360	903.1	2.987	2.418	1.887	1.458	275.5	DoesNot
-103500	-867200	-1.326	-7.836	7.836	-0.8955	5.104	626.3	179.7	190.5	500.7	125.6	708.2	751	10.84	42.73	100.9	10.26	7.288	97.74	0.0001347	-8.527e-14	-8.527e-14	-11.26	0.05495	4.016	22.57	-11.19	90.45	0.287	0.3043	0.7995	0.2005	1.131	1.199	-105200	-847700	128.5	-8.777	8.777	-1.505	7.318	-96220	-848200	-18.22	-8.321	8.321	-0.871	5.615	400.7	1.068	1.18	-0.1224	0.7913	-0.8666	0.1366	6260	3204	2716	339.8	3.943	3.028	2.657	1.119	377.1	Crosses
-59620	-366600	-27.73	-8.554	8.554	-0.2752	1.532	471.6	142.2	67.35	344.7	126.9	398.1	188.6	74.85	209.6	34.87	5.153	0.04403	31.78	0.001184	0	0	-13.33	-0.0639	1.562	7.071	-3.562	31.74	0.3016	0.1428	0.7308	0.2692	0.8442	0.3998	-60600	-364700	-36.9	-9.23	9.23	-0.4024	1.625	-55020	-357600	-33.39	-8.911	8.911	-0.4456	2.149	267.4	0.9777	0.5456	0.3669	0.3744	0.1513	0.1098	2126	679.2	519.3	927.7	3.065	2.631	2.285	0.8716	231.5	Crosses
-79810	-650600	-109.7	-9.979	9.979	0.01719	3.617	482.8	63.6	63.08	398.6	84.15	105.7	104.8	0.5249	0.8724	133.6	22.71	2.202	91.74	0.03696	-1.776e-15	-1.776e-15	-12.52	-0.7087	2.66	50.63	17.17	89.54	0.1317	0.1307	0.8257	0.1743	0.219	0.2171	-80040	-638200	-68.67	-10.16	10.16	-0.1935	3.191	-75440	-638000	-96.04	-9.978	9.978	-0.07539	4.091	303.5	0.9794	1.181	0.6292	0.9524	-0.3015	0.1304	3289	2184	880.6	224.8	3.377	2.91	1.58	1.051	294.5	Crosses
-88760	-735600	60.15	-7.307	7.307	-0.1238	1.165	614.3	175.7	175.9	478.9	135.4	520.8	521.2	0.1526	0.4524	115.8	8.405	-0.2422	111.9	0.0004742	-1.421e-14	-1.421e-14	-2.812	0.02447	2.349	42.66	-6.823	112.1	0.286	0.2863	0.7796	0.2204	0.8477	0.8485	-90500	-728400	58.86	-8.219	8.219	-0.2952	0.7434	-82690	-721800	45.62	-7.885	7.885	-0.3467	1.097	381	1.01	0.385	-0.1048	0.3636	0.07125	0.0983	5757	2630	2503	624.2	3.941	3.178	2.709	0.9963	367	Crosses
-72930	-466500	110.7	-7.694	7.694	0.00088	2.038	458	327	131	185.5	272.5	1926	771.6	196	1154	47.48	26.82	-58.2	-1.638	0.0008226	0	0	-24.44	-1.583	13.02	27.37	10.85	56.56	0.714	0.286	0.4051	0.5949	4.205	1.685	-73060	-464700	77.32	-8.033	8.033	-0.1158	2.593	-63590	-450500	69.31	-7.602	7.602	-0.1291	2.14	259	1.097	0.6293	0.5482	-0.2813	0.1281	0.02865	2858	2171	582.1	104.8	3.346	3.297	1.744	0.558	232.8	DoesNot
-83060	-527600	-52.43	-9.483	9.483	0.1333	0.2496	490.5	224.1	64.53	201.9	288.7	1438	413.9	159.6	1024	-77.35	27.03	-155.8	-114.3	0.0008825	0	0	-22.61	-0.7403	1.56	12.31	9.094	41.46	0.4569	0.1316	0.4115	0.5885	2.931	0.8439	-83410	-526100	-106.9	-9.737	9.737	0.3478	0.5761	-73780	-512800	-105	-9.135	9.135	-0.1009	0.3254	291.8	1.065	0.3773	0.008118	-0.00196	0.3772	0.06391	2696	1305	1304	86.7	3.231	2.599	2.594	0.657	242.5	DoesNot
-42840	-230800	66.92	-8.596	8.596	-0.9354	2.355	368.7	167.7	112.8	249.2	119.4	427.2	287.5	54.85	139.8	60.11	17.24	3.878	19.67	7.615e-05	0	0	-9.193	-1.06	33.08	41.83	-8.815	15.79	0.4548	0.306	0.676	0.324	1.159	0.7798	-42930	-229600	53.56	-8.795	8.795	-1.062	2.212	-39040	-225000	56.31	-8.722	8.722	-1.139	2.249	194.3	0.9453	0.7321	-0.5478	0.3558	-0.3306	0.06398	1078	498.3	525.5	54.17	2.594	2.524	1.446	0.6385	169.5	Crosses
-45140	-232900	19.48	-8.643	8.643	-0.9471	1.998	363.5	151.4	118.3	256.2	107.3	338.8	264.7	33.1	74.07	62.7	17.24	2.333	17.28	7.615e-05	0	0	-9.231	-1.027	32.97	41.99	-3.759	14.95	0.4164	0.3254	0.7048	0.2952	0.932	0.7282	-45260	-232000	3.882	-8.784	8.784	-1.037	2.114	-41720	-227600	11.69	-8.712	8.712	-1.109	1.92	189.3	0.9755	0.7841	-0.6461	0.2402	0.3737	0.0802	1090	499.1	530.3	60.23	2.6	2.44	1.451	0.6911	165.2	Crosses
-39280	-185100	-33.33	-8.933	8.933	0.3429	1.792	337.7	168.9	108.8	215.1	122.5	382.7	246.5	60.1	136.2	19.14	1.358	1.53	21.62	0.000219	0	0	-11.67	-0.2383	0.9386	1.51	-4.539	20.09	0.5002	0.3222	0.6371	0.3629	1.133	0.7301	-39400	-184100	-32.59	-8.891	8.891	0.09562	1.84	-36290	-180700	-29.8	-9.042	9.042	0.2279	1.702	172.6	0.9494	0.5294	-0.2307	-0.3335	-0.3403	0.06245	910.8	602	255	53.83	2.577	2.507	1.177	0.6264	144.5	DoesNot
-62280	-323800	-8.217	-9.552	9.552	-0.8751	3.981	375.7	158.8	182.3	217.4	158.3	525.1	602.9	23.52	77.79	9.033	11.05	-21.04	-7.748	0.0002141	0	0	-18.83	-0.5902	5.574	19.13	0.749	13.29	0.4227	0.4853	0.5788	0.4212	1.398	1.605	-63130	-318500	95.01	-9.739	9.739	-2.059	5.127	-56720	-309000	-17.55	-9.774	9.774	-0.9354	3.207	205.3	1.229	1.503	-1.074	0.189	1.034	0.07163	1577	490.9	888.1	198.4	2.726	2.753	1.291	0.7367	172.8	Crosses
