LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Class
0	0	0	2	2	2	2	0	0	0	163.8	163.8	-11.5	30.4	162.4	-2.1	239	2	-1.5	65.5	0	1.2	0	noninducer
0.28	23.3	3	2	5	21	4	0	5	1	482.8	86.1	-15.1	290.8	810.5	2.4	0.000422	4	1.6	0.0022	396.6	3.2	4	noninducer
0.66	35.4	2	3	5	23	5	8	2	2	659.9	51.7	-9	381.5	1100.4	2.7	0.000108	4	3	5.68e-05	608.2	4.5	1	inducer
0	6.2	2	3	5	5	4	0	0	0	196.8	192.5	-18.7	65.9	270.6	-1.5	30.4	4	-1.7	47.5	4.3	1.8	0	noninducer
0.14	37.8	2	3	5	26	5	8	3	2	729.4	57.7	-10.8	425.8	1209.5	3.2	2.21e-05	4	2.4	0.000108	671.7	4.5	1	inducer
0.67	18.4	2	1	3	10	3	3	1	0	382.5	137.9	-122.9	155	527.2	-1.8	21.2	3	-1.3	7.44	244.6	2.7	2	noninducer
-0.03	42.7	2	1	3	25	5	5	4	3	742.8	11.1	-5.8	406.2	1151.2	4.5	1.76e-06	3	6	9.98e-08	731.7	4.9	0	inducer
0.26	12.4	2	0	2	15	2	4	1	1	519.8	72.3	-58.1	247.8	743.5	3.2	0.000349	2	3.8	0.000115	447.5	3.6	1	noninducer
0.72	34.3	4	2	6	26	4	9	2	0	701.8	123.2	-65.5	416.4	1226.7	3.3	2.09e-05	4	4.9	9.01e-07	578.6	5	6	noninducer
0.92	32.6	0	1	1	21	2	4	3	2	611.3	7	-9.9	349.9	983.1	3.9	2.73e-05	2	5	2.95e-06	604.3	3.9	0	inducer
0	31.7	1	3	4	26	4	4	4	3	666	48.5	-10.2	410.3	1167.6	2.9	6.27e-05	4	3.6	1.52e-05	617.5	5.4	0	inducer
2.48	26.1	3	1	4	24	4	5	3	1	615.9	48.7	-4.6	374.2	1033.6	-0.8	0.11	4	-0.7	0.0948	567.2	4.3	3	noninducer
0.16	36.2	0	1	1	21	2	4	3	2	630.9	5.3	-8.6	352.1	990.2	3.5	5.27e-05	2	5.7	6.58e-07	625.6	4	0	inducer
0	6.8	2	2	4	10	4	0	1	1	283.8	137.7	-12.2	144.1	471.6	-0.3	1.09	4	-0.8	3.11	146.1	2.7	0	noninducer
0.02	24.7	3	4	7	15	4	4	1	1	499.6	131.9	-19.9	232	723.2	1.4	0.0123	4	0.2	0.117	367.7	3.8	1	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
1.4	17.1	3	0	3	19	3	2	2	2	538.5	100.7	-59.8	284.6	825.9	2.8	0.000338	3	3	0.000245	437.7	3.6	1	noninducer
0	27.1	2	1	3	22	3	0	4	2	598.3	43	-13	340.2	946.4	3.3	5.64e-05	2	3.8	1.78e-05	555.3	3.7	0	inducer
0.01	32.4	3	4	7	24	5	7	2	2	713.9	160.2	-23	371.9	1084	2.4	0.00022	5	2.4	0.000217	553.7	4.8	2	inducer
1.67	22	5	2	7	15	7	2	2	1	398.1	143	-14.5	211.9	645.3	0.7	0.0346	6	-2.6	23.1	255.1	3.2	2	noninducer
0	20.8	3	1	4	10	4	5	0	0	416.8	125.1	-109.8	167.5	572.5	-1.7	11	3	-1.9	17.7	291.7	3.3	1	noninducer
0.57	17.2	4	0	4	22	5	5	3	3	538.6	183.6	-19.1	358.1	981	2.6	0.000336	5	2.2	0.000663	355	3.6	0	noninducer
0.02	29.5	3	4	7	17	4	5	1	1	500	112.4	-16.2	267.9	809.7	1.1	0.012	4	0.6	0.0318	387.6	3.9	1	noninducer
4.4	17.6	4	3	7	14	5	3	1	1	412.4	225	-123.8	191.7	601.8	-1.5	4.52	5	-2.2	18.9	187.4	3	1	inducer
0.36	37.5	4	1	5	26	8	0	4	2	652.2	120.9	-83.2	359.6	1016.2	0	0.0136	7	-0.2	0.0217	531.2	4.4	1	noninducer
0.26	16.6	2	1	3	23	2	2	4	0	565	60	-4.4	354.4	963.7	4	1.16e-05	2	3.5	3.54e-05	504.9	3.6	6	noninducer
-1.15	26.6	4	2	6	24	9	3	2	2	718.6	161.9	-123.4	383.8	1096.5	2.6	8.68e-08	5	4.1	4.16e-09	556.8	4.5	1	noninducer
1.02	22.3	1	2	3	17	3	4	1	1	521.5	11.8	-1.2	285.4	856.5	2.5	0.000852	3	1.7	0.00464	509.8	3.8	0	inducer
1.59	30.8	4	1	5	24	8	2	3	1	611.3	103.8	-11.1	344.6	1020.3	1.7	0.000768	7	1.3	0.00182	507.4	5.1	1	noninducer
9.97	76.8	12	7	19	54	14	10	3	0	936.1	41.7	-1.3	825	1981.4	0.5	5.1e-06	14	4.4	2.19e-09	894.5	4.8	19	inducer
0	35.4	1	2	3	24	4	3	4	2	618.3	54.8	-14.8	370.9	1035	2.3	0.000278	4	2.3	0.000316	563.5	4.1	2	inducer
0.21	23.3	0	1	1	21	1	4	4	2	556.7	18.5	-20.6	337.9	946.3	4.8	4.32e-06	1	4.5	8.13e-06	538.1	3.8	0	inducer
0	29.4	0	2	2	28	3	5	4	3	769.1	1	-4.1	464.3	1274.2	5.7	1.2e-07	2	5.9	8.44e-08	768.1	4.6	1	inducer
0.81	32.6	6	2	8	23	9	1	3	2	620.9	132	-15.7	322.9	940.5	0.5	0.00657	7	3.5	1.76e-05	488.9	4.5	0	noninducer
0	11.4	0	1	1	13	1	0	3	0	414.3	46.5	-44.4	213.7	629.5	3.1	0.00072	1	3.3	0.000431	367.8	2.7	2	inducer
-0.01	15.2	2	0	2	13	2	0	2	1	426	59.4	-8.7	190.9	583.5	1.7	0.0124	2	2.2	0.00454	366.6	3	0	noninducer
0.13	40.8	3	1	4	26	5	4	4	2	703.1	63	-10.4	418.8	1147.6	4.2	2.37e-06	3	5.6	1.45e-07	640.2	4.3	1	inducer
0	3.3	1	4	5	9	5	0	0	0	302.4	130.8	-57.9	144.4	485.9	1.3	0.0552	5	-2.6	127	171.6	2.7	0	noninducer
0.31	20.8	1	1	2	23	2	7	2	2	629.5	17.6	-9.1	377.1	1022.1	4.1	1.08e-05	2	4.2	9.5e-06	611.9	3.6	1	noninducer
0.04	27.7	2	1	3	18	4	5	2	2	562.5	8.8	-8.6	307.9	888.4	2.7	0.000368	3	2.5	0.000511	553.7	3.8	0	noninducer
0.87	12.6	6	1	7	14	9	1	1	0	482.8	191.6	-18.8	193.7	646.2	-1.7	3.43	7	0.3	0.0628	291.1	3.6	0	noninducer
4.33	32.8	8	4	12	33	13	7	3	3	778.8	382.4	-197.4	446.1	1277.8	2	6.3e-05	13	-1.3	0.0385	396.4	5.5	1	noninducer
0.03	18.5	4	3	7	15	5	3	1	1	445.9	210.9	-101.6	208.3	634.2	-1.2	1.97	5	-1.8	6.12	235	3	1	noninducer
0.23	15.6	2	1	3	17	3	3	2	1	544	16.6	-4.9	269.5	801.3	2.3	0.00143	3	2.8	0.000519	527.4	3.3	2	noninducer
0.35	28.3	2	3	5	20	6	5	1	1	558.8	76.8	-6.8	327.5	984.4	2.5	0.000298	5	1.7	0.00145	482.1	4.8	0	noninducer
1.3	27.2	0	1	1	20	2	0	4	2	557.5	7.7	-11.6	314.7	872.3	3.6	5.65e-05	2	3.3	0.000101	549.9	3.6	1	inducer
0.14	31.3	2	0	2	23	5	0	4	3	576.9	36.8	-5.5	344.6	956.3	4.5	3.54e-06	3	4.3	5.31e-06	540.1	3.7	0	inducer
2.34	22.1	4	3	7	18	6	4	1	1	514	127	-66.6	265.8	821	-0.1	0.108	6	-0.9	0.555	387	4.2	1	noninducer
0.45	38.7	5	1	6	41	6	10	5	4	989.9	99.3	-62.8	649.4	1773.1	5.9	2.99e-09	4	9.5	2.56e-12	890.5	6	1	noninducer
2.45	25.9	3	3	6	21	4	0	5	1	494.9	79.9	-12.8	289.1	798.8	2.4	0.000422	4	0.7	0.0126	415	3.2	5	noninducer
2.37	31.7	4	1	5	29	8	1	5	2	684	128.7	-88.6	401.3	1105.4	0.7	0.00183	7	1	0.00115	555.3	4.6	2	noninducer
0.78	27.8	6	1	7	23	6	5	2	1	598.1	168.7	-70.2	330.2	967.5	2.4	0.000284	6	4.2	7.42e-06	429.4	4	0	noninducer
0.17	28.9	4	3	7	24	5	2	5	1	537.4	126.1	-13.3	330.3	912.2	2	0.000462	5	0.9	0.00395	411.3	3.5	4	noninducer
0.22	28.8	4	3	7	25	5	2	6	1	556.8	123.9	-12.4	344.8	951.8	2.4	0.000197	5	1.4	0.00131	433	3.6	4	noninducer
0.11	15.4	3	0	3	17	3	2	2	2	434.6	80.2	-61.3	255.4	756.6	2.8	0.000591	3	3.1	3e-04	354.4	3.8	1	noninducer
6.13	38.3	4	1	5	33	9	5	5	3	768.5	68.7	-34.7	505.7	1377.7	3.6	1.55e-06	7	4.8	1.45e-07	699.9	5.7	2	inducer
2.39	39.6	5	5	10	40	8	8	4	2	989.6	70.4	-8	627.2	1713	3.5	4.55e-07	7	5.5	8.5e-09	919.3	5.6	5	noninducer
3.24	53.7	7	8	15	33	12	8	3	0	734.4	168.2	-115.6	474.5	1344	-2.6	0.301	12	-2.5	0.269	566.2	4.6	11	inducer
5.27	27.9	3	1	4	20	5	1	4	2	531.5	68.9	-8	287.3	828.2	3.5	7.69e-05	5	3.9	3.41e-05	462.7	3.4	0	inducer
0	13.4	3	0	3	9	3	0	1	1	249.7	107.4	-71.7	130	430.2	-1.3	9.55	3	0.7	0.21	142.4	2.3	0	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
2.36	33	5	3	8	21	9	10	1	1	640.4	90.5	-13.1	340.4	1043	0.9	0.00158	7	-0.4	0.0226	549.9	5.5	0	noninducer
0	21.6	0	2	2	20	3	3	3	2	551.6	31.7	-34.7	330.3	928.4	3.9	2.25e-05	2	3.4	6.18e-05	519.9	3.6	1	inducer
11.13	14.3	2	1	3	22	2	1	4	0	534	87.1	-6.9	338.5	931.1	3.8	2.27e-05	2	3	0.000118	446.9	3.6	6	noninducer
0.04	28.3	0	1	1	20	1	3	3	2	597.7	20	-23	326.5	928.2	4.5	1e-05	1	4.7	6.69e-06	577.7	3.8	0	inducer
0.03	27.5	2	1	3	22	3	4	3	2	652.1	9.9	-8.2	352.7	1016.3	4.2	1.23e-05	3	4.3	9.59e-06	642.1	4.1	0	inducer
1.34	26.4	6	1	7	24	7	3	3	3	685.3	118.1	-15.3	360.4	1045.9	1.9	0.000452	6	3.4	2.4e-05	567.2	5.3	0	noninducer
2.58	25.5	4	2	6	22	6	7	1	0	613.2	85.8	-56.4	345.8	1026.9	0.9	0.00556	6	1	0.00501	527.4	4	3	noninducer
0.3	30.5	3	3	6	20	6	4	2	1	548.2	128	-13.9	299.5	895	1.8	0.000658	6	1.8	0.000713	420.2	4.3	1	noninducer
0.22	27	4	2	6	23	5	0	5	1	568.9	79	-13.4	316.8	881.2	1.4	0.00206	5	0.7	0.00846	489.9	3.5	4	noninducer
0.19	23.7	3	2	5	24	3	0	4	0	626.5	109	-8.4	362.8	974.9	3.3	3.53e-05	3	3.6	1.98e-05	517.5	3.7	7	noninducer
2.79	39.8	5	2	7	31	8	4	5	3	699.1	105.1	-10.8	448.3	1267.3	2.9	1.76e-05	7	2	0.000104	594	5.6	1	noninducer
0.16	28.1	1	1	2	22	3	1	5	1	504.1	19.4	-8.9	329.8	919.1	3.3	5.92e-05	3	3	0.000126	484.7	3.8	2	noninducer
0.76	23.4	0	0	0	14	2	0	2	2	490.2	2.9	-8.3	234.1	696.7	1.6	0.0122	2	2.5	0.00212	487.3	3.7	0	inducer
0.16	24.9	3	1	4	24	5	3	4	2	575.7	68.9	-32.1	354.1	1003.9	3.3	3.82e-05	4	4.7	2.19e-06	506.7	4.1	2	inducer
0.4	14.6	2	4	6	25	6	6	2	2	560.1	187.4	-168.2	394.9	1157.2	2.5	0.000138	6	2.8	8.28e-05	372.7	6.6	0	inducer
235.11	22.7	0	1	1	20	1	4	3	0	603	3.4	-1.7	346.3	986	4.8	4.41e-06	1	7.5	2.11e-08	599.7	3.7	1	inducer
0	15.3	2	1	3	13	3	1	1	1	447.2	45.8	-3.7	208.4	659.7	1.7	0.0114	3	1.7	0.0116	401.4	3.7	0	inducer
0.06	16	3	2	5	17	5	2	2	1	403.3	156	-11.6	237.1	692.7	1.2	0.0124	5	1.3	0.00932	247.3	3	0	noninducer
0.03	13.9	0	1	1	11	1	2	1	1	409.8	37.7	-37.3	193.4	588.6	2.5	0.00338	1	2.2	0.00654	372.2	2.8	0	inducer
0.16	26.1	2	2	4	20	5	0	3	1	539.2	52.8	-11.4	303.5	885.1	2.7	0.000312	5	1.3	0.00441	486.4	3.9	2	noninducer
1.54	23.1	3	0	3	15	4	3	2	1	470.1	87.5	-9.4	235.2	713	1.5	0.00914	4	0.2	0.119	382.6	3.2	2	noninducer
-0.13	30	2	3	5	18	4	5	2	2	582.9	78.4	-15.7	288.7	878.7	1.3	0.00733	4	1.5	0.00518	504.5	4.6	1	inducer
0.78	29.5	5	2	7	23	8	1	3	2	605.6	138.4	-17.9	318.9	914.3	0.7	0.00642	7	2.6	0.000152	467.2	4.2	0	noninducer
1.06	28.7	3	2	5	27	9	8	2	2	744.5	101.4	-18	405.5	1175.1	2.9	2.54e-05	5	4.5	1.1e-06	643.1	4.9	0	inducer
2.21	25.6	4	1	5	26	6	4	4	2	696.9	48.7	-4.3	386.3	1102.2	3.8	6.17e-06	4	3.9	5.24e-06	648.2	4.6	1	noninducer
9.77	27.5	5	3	8	26	5	2	4	0	559.7	140.3	-11.7	365.5	990	1.5	0.000736	5	1.4	0.000947	419.4	3.8	7	noninducer
0.17	24.2	0	1	1	25	1	8	3	3	683.2	3.1	-4.3	423.4	1177.2	5.5	5.18e-07	1	6	1.74e-07	680.2	4.2	1	inducer
0	25	1	3	4	17	4	5	1	1	553.3	85.8	-7.8	282.7	862.7	1.7	0.00407	4	1	0.0178	467.5	4.5	0	noninducer
0	45.1	1	2	3	25	5	4	4	2	687	11.4	-15.7	410.1	1143.2	4.3	2.46e-06	3	4.8	9.3e-07	675.6	4.6	0	noninducer
0.06	6.8	2	5	7	17	6	1	1	1	500.5	95.3	-12	278	834.6	4.2	2.19e-05	5	2.5	0.000622	405.1	4.1	0	noninducer
0	35.6	1	1	2	20	3	4	3	2	631.4	8.9	-12.1	330.6	932.6	3.9	2.25e-05	2	4.6	6.66e-06	622.4	4	0	inducer
0.07	32.8	1	1	2	20	3	3	3	2	587.6	0	-2	326.6	899.3	3.9	2.25e-05	2	4.5	7.7e-06	587.6	3.5	1	inducer
0.39	36.6	3	2	5	25	4	9	2	2	741.4	56.7	-17.4	405.7	1197.9	2.7	9.41e-05	4	3.4	2.64e-05	684.7	5.8	1	noninducer
0.01	24.9	2	2	4	19	3	5	2	2	599.3	44.6	-11.4	308.8	923.6	2.5	0.000545	3	2.6	0.000481	554.7	4.7	1	inducer
-0.01	33.5	2	2	4	28	5	7	3	3	701.4	21.4	-4.4	457.3	1266	3.9	3.46e-06	4	5.8	9.19e-08	680	4.8	1	inducer
0.27	26.4	3	2	5	24	4	3	4	2	572.7	55.8	-13.6	361.3	1004.8	2.2	0.000359	4	3.3	4.1e-05	516.9	3.9	4	inducer
1.62	30.9	6	1	7	25	7	7	3	3	615.9	95.9	-13.2	385.7	1140.8	1.9	0.000379	6	3	4.26e-05	520	5.9	0	noninducer
2.31	31.3	4	3	7	21	8	10	1	1	635.1	105.7	-15.1	338.6	1034.8	1.2	0.00123	7	0.3	0.00723	529.4	5.7	0	inducer
2.33	17.4	0	1	1	13	1	3	2	1	430	8.5	-10.1	222.1	676.8	3.3	0.000534	1	2.6	0.0021	421.4	3.1	1	noninducer
555.12	65.9	12	6	18	61	15	4	6	1	654	0	1.8	508.4	1327.8	1.1	5.02e-07	15	7.5	1.65e-12	654	4.6	9	inducer
620.86	72.2	13	7	20	59	16	3	5	2	573.8	6.1	-0.4	475.2	1217.1	1.6	2.63e-07	16	4.2	1.49e-09	567.7	4.1	9	noninducer
697.29	62.9	12	5	17	57	14	2	6	3	582	1.1	1.5	466.7	1213.9	2.3	1.2e-07	14	7.8	2.55e-12	580.9	4.1	9	noninducer
0.37	31.7	1	2	3	29	2	3	5	3	767.5	49.8	-18.7	452.4	1242.9	4.7	9.16e-07	2	5.8	1.24e-07	717.6	5.3	2	inducer
7.91	50.7	8	8	16	38	11	4	5	1	830	205.6	-30.2	507.8	1366	-0.9	0.00546	11	-0.8	0.0041	624.4	5.1	5	noninducer
2.38	41.1	8	2	10	33	11	7	2	2	783.6	193.5	-74.2	478.8	1354.3	2.6	1.32e-05	9	2.5	1.53e-05	590.1	4.8	2	noninducer
0.01	50.6	4	4	8	30	5	16	2	2	857.4	121	-21.5	493.1	1466.8	2.9	2.04e-05	5	4.1	1.67e-06	736.4	8.1	1	noninducer
0.38	29.8	5	6	11	17	8	2	2	1	410.9	208.1	-20.8	228.3	700.3	1.1	0.0129	8	-2	5.3	202.8	3.5	3	inducer
13.7	41	6	6	12	50	11	12	5	3	1023.5	124.4	-12.4	749.4	1994.1	1.8	1.83e-06	11	3	1.86e-07	899.1	6	7	noninducer
3.29	41.1	1	1	2	23	6	0	4	2	638.7	9.4	-11.2	360.9	1024.2	3.9	1.12e-05	5	2.3	0.00028	629.4	4.1	0	inducer
-0.13	18.4	0	1	1	14	1	5	1	1	483.5	0	-1.5	254.4	745.8	3.3	0.000405	1	2.6	0.00147	483.5	3.1	1	noninducer
-0.02	44	1	2	3	31	7	4	5	3	751.6	61.8	-10.7	478.5	1339.9	3.9	1.73e-06	5	4.8	2.8e-07	689.9	5.4	0	inducer
0.05	21.4	0	1	1	20	3	2	3	2	570	11.3	-13.8	334.2	932.1	5.4	8.57e-07	1	5.3	1.11e-06	558.7	3.7	2	inducer
3	46.4	6	2	8	33	11	5	4	3	867.3	126.3	-23.5	491.2	1365.8	1.2	0.000187	10	2.3	2.35e-05	740.9	5.5	0	noninducer
0.29	27.3	5	1	6	30	5	6	3	0	726.8	104.2	-4.9	461.8	1269.5	4	2.13e-06	5	5.2	2.06e-07	622.6	4.4	7	noninducer
13311.6	65.5	13	3	16	65	14	6	4	0	852.6	54.4	-6	643	1750.1	1.6	6.21e-08	14	4.8	1.08e-10	798.2	6.2	15	inducer
1.28	42	7	5	12	23	9	2	3	0	543.7	142.8	-20.2	307.8	891.7	-2.1	1.3	9	-0.8	0.116	400.9	3.6	9	inducer
1.21	48.2	10	1	11	52	11	9	6	0	1108.1	23.6	-3	793.6	2032.9	2.5	2.12e-07	11	3.3	4.38e-08	1084.5	5.8	17	inducer
1.24	50.8	10	1	11	53	11	9	6	0	1088.4	22.8	-3.1	813.7	2092.4	2.7	1.21e-07	11	3.8	1.18e-08	1065.7	5.8	17	inducer
2.48	36.2	7	1	8	31	9	9	3	1	863	94.9	-58.2	479.3	1383.6	-0.1	0.00329	7	3.9	1.19e-06	768.1	5.2	3	noninducer
0.4	5.1	0	4	4	20	4	0	2	2	413.2	189.8	-185.2	311.8	898.8	2.8	0.000312	4	2	0.00131	223.4	5.1	0	inducer
7.46	50.1	12	14	26	40	19	9	3	0	758	381.2	-113	524.9	1432.5	-3.6	0.392	19	-7.5	935	376.9	4.8	15	noninducer
0.89	16.8	4	2	6	17	7	2	2	2	473.3	156.8	-12.9	246.5	742.1	1	0.0133	6	0.5	0.0346	316.5	3.7	0	noninducer
1.2	30.5	4	0	4	25	5	3	3	2	580	127.4	-68.7	371	1045.7	4.3	3.6e-06	3	4.3	3.59e-06	452.5	4.3	0	noninducer
0	26.9	2	3	5	20	6	6	2	2	596.9	107	-22.8	321.6	946.9	1.2	0.00442	5	1.1	0.00551	489.9	4.2	0	noninducer
0.23	38.9	4	1	5	29	7	1	6	3	669.3	106	-12.3	399.3	1111.6	2.1	0.000146	7	1.4	0.000559	563.3	4.2	2	noninducer
0.24	31.7	1	1	2	28	2	4	3	3	766.4	8.7	-10.2	465.1	1276.1	5.2	4.39e-07	2	6.3	5.03e-08	757.7	5.1	0	inducer
0.05	20.4	1	2	3	16	2	5	1	1	518.1	46.1	-6	278.6	815.5	3	0.000381	2	3.6	0.000133	472.1	3.5	2	noninducer
0	22.5	5	3	8	17	7	2	2	1	437.7	148.4	-14.9	231.1	707.8	0.1	0.0812	7	-0.6	0.381	289.3	3.5	3	noninducer
15.82	67.9	12	2	14	58	15	10	5	2	1147.1	147.3	-15.2	856.9	2191.8	1.6	3.08e-07	15	4.1	2.47e-09	999.9	6.1	13	inducer
0	26.3	5	1	6	14	8	0	2	1	399	186	-20.7	174.3	563.6	0.6	0.0755	8	-1.3	3.26	213	3.1	0	noninducer
-0.69	22.8	7	1	8	19	10	5	2	2	473.8	181.1	-79.3	262.7	774.3	1	0.00743	9	-1.6	1.14	292.7	3.3	1	noninducer
0.04	26	3	1	4	23	4	2	3	1	676.5	42.7	-6.9	358.1	1031.1	2.7	0.000158	4	2.7	0.000161	633.8	4.4	2	noninducer
0.76	43.9	8	7	15	32	10	2	4	1	654.6	273.5	-29.3	409.8	1106.8	-1.7	0.0924	10	-1.3	0.0487	381.2	4.2	5	noninducer
2.33	1.7	1	1	2	4	2	0	0	0	227	115	-5.8	79	306	-0.3	3.31	1	-0.8	9.05	112	1.9	0	noninducer
0	40.7	2	1	3	25	4	3	4	2	690.9	4	-6.6	409.8	1127.9	5.1	5.12e-07	2	6.4	3.84e-08	686.9	4.4	1	inducer
0.92	33.4	4	1	5	25	5	4	3	2	687.7	90.1	-75.3	400.7	1125.6	3.5	1.09e-05	3	2	0.000208	597.5	4.4	1	noninducer
0.77	28.5	4	2	6	22	7	6	1	1	714.5	101.6	-13.4	349.3	1051.1	2.1	0.000402	6	0.5	0.00874	612.8	4.8	0	noninducer
0.02	48.1	3	2	5	30	5	10	3	2	823	39.5	-7.5	484.1	1397.9	3.1	1.51e-05	5	5.1	2.89e-07	783.6	6.8	0	inducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
7.85	36.3	6	2	8	42	11	11	4	3	969	118.3	-8.5	617.3	1671.9	3.8	1.51e-07	7	6.7	4.73e-10	850.7	5.4	2	noninducer
0.06	54.5	9	10	19	32	14	6	3	0	696.9	344.2	-220.3	423.1	1189.8	-4.5	16.1	14	-5.8	188	352.6	4.4	14	inducer
0.85	24.5	1	2	3	24	2	7	2	2	673.3	32.2	-2.4	403.3	1122.6	4.7	2.7e-06	2	5.7	3.34e-07	641.2	4.1	1	noninducer
0.39	22.4	2	2	4	19	3	3	2	1	552.9	20.3	-5.2	308.7	884.9	2.3	0.000779	3	3	0.000199	532.5	3.5	2	noninducer
0.12	30.8	0	1	1	22	2	4	3	2	627.4	0.6	-3.2	364.9	1002.4	4.1	1.38e-05	2	5.4	1.02e-06	626.8	3.7	1	inducer
0.7	35.5	2	2	4	31	4	9	3	3	798.8	23.7	-5.7	508.2	1399.4	5.1	1.73e-07	3	6.8	5.93e-09	775.1	5.8	1	inducer
0	27.1	1	1	2	19	3	5	2	2	539	6.3	-8.7	321.6	919.5	3.1	0.000177	3	2.7	0.000397	532.8	3.8	0	inducer
0.05	48.8	7	5	12	26	9	5	3	0	669.3	170.7	-46.7	368.8	1077.2	-1.3	0.148	9	0.6	0.00317	498.6	4.3	9	inducer
1.08	28.8	4	2	6	28	4	4	4	0	628	151.5	-79.6	426	1139.6	4.1	2.97e-06	4	5.1	4.25e-07	476.5	4.2	10	inducer
0.54	30.9	7	4	11	25	11	8	2	2	654.4	261.6	-63.5	349.4	1049.2	-0.7	0.0677	11	-1.7	0.503	392.7	5.1	2	noninducer
2.6	17.4	2	0	2	10	2	5	0	0	407.7	55.5	-43.1	175.2	575	2.1	0.00987	2	3	0.00168	352.2	3	0	noninducer
0.08	13.7	2	1	3	16	3	0	4	2	481.3	73	-37.2	232.4	685.5	1.1	0.0203	3	1	0.0236	408.3	3.2	2	inducer
4.06	31.8	5	1	6	33	6	10	2	2	911	87.1	-13.4	535.5	1490.4	3.2	5.26e-06	6	4.8	2.41e-07	823.9	6	1	inducer
7.74	62.5	9	5	14	59	13	6	9	3	997.6	78.4	-10	820.6	2030.1	2.7	3.77e-08	13	4.3	1.55e-09	919.2	5.3	9	noninducer
5.45	26.2	5	1	6	25	9	5	3	3	532.7	75.9	-10.5	343.7	943	3.7	1.29e-05	6	1.6	0.000811	456.8	3.4	2	noninducer
0.03	12.8	4	1	5	23	4	4	3	3	535.6	60.8	-5.9	335.8	941.5	3.2	6.54e-05	4	2.2	0.000441	474.8	3.9	1	noninducer
0.08	22.3	5	1	6	21	7	2	2	2	620.1	102.2	-72.7	322.7	953.6	3	8.14e-05	5	3.1	6e-05	517.9	4.4	0	noninducer
0.24	21.9	4	2	6	15	6	2	2	1	411	178.6	-16.9	213.1	654.2	1	0.0251	6	-1.7	5.37	232.3	3.2	2	noninducer
2.13	19.6	3	1	4	16	5	2	2	2	476.4	113.2	-11.9	240.2	716.4	2.4	0.00101	4	2.6	0.000739	363.2	3.5	1	noninducer
0.61	24.2	1	1	2	19	3	2	2	2	590.2	30.1	-13.4	328.4	941.9	3.2	5.82e-05	2	3.2	5.84e-05	560.1	4	0	inducer
17.22	10.5	8	1	9	16	11	4	1	1	389.5	246.5	-156.1	203.5	613.6	-1.1	0.585	9	-1	0.534	143	2.7	0	noninducer
0	30.4	2	0	2	23	4	2	3	2	629.2	32.2	-5.4	356.7	1026.6	2.8	0.00016	4	3.8	1.87e-05	597	4.3	0	noninducer
0	14.4	4	1	5	14	6	2	2	2	424.8	178.3	-17.3	200.4	619.7	0.2	0.11	5	0.4	0.0879	246.6	3.2	0	inducer
